--------------------------------------------------------------------------
[[14994,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-3-141

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
Running with these driver parameters:
  solver ID    = 3

  Laplacian_27pt:
    (Nx, Ny, Nz) = (10, 20, 10)
    (Px, Py, Pz) = (1, 2, 1)

[PI-INFO] Total time,0.132530
[PI-INFO] Total time,0.132553
[PI-INFO] Total time,0.132558
[PI-INFO] Total time,0.132562
[PI-INFO] Total time,0.132566
[PI-INFO] Total time,0.132570
[PI-INFO] Total time,0.132574
[PI-INFO] Total time,0.132578
[PI-INFO] Total time,0.132582
[PI-INFO] Total time,0.132587
[PI-INFO] Total time,0.132593
[PI-INFO] Total time,0.132598
[PI-INFO] Total time,0.132602
[PI-INFO] Total time,0.132607
[PI-INFO] Total time,0.132636
[PI-INFO] Total time,0.132647
[PI-INFO] Total time,0.132651
[PI-INFO] Total time,0.132656
[PI-INFO] Total time,0.132660
[PI-INFO] Total time,0.132664
[PI-INFO] Total time,0.132669
[PI-INFO] Total time,0.132673
[PI-INFO] Total time,0.132678
[PI-INFO] Total time,0.132682
[PI-INFO] Total time,0.132686
[PI-INFO] Total time,0.132695
[PI-INFO] Total time,0.132706
[PI-INFO] Total time,0.132710
[PI-INFO] Total time,0.132719
[PI-INFO] Total time,0.132724
[PI-INFO] Total time,0.132728
[PI-INFO] Total time,0.132733
[PI-INFO] Total time,0.132737
[PI-INFO] Total time,0.132741
[PI-INFO] Total time,0.132746
[PI-INFO] Total time,0.132750
[PI-INFO] Total time,0.132755
[PI-INFO] Total time,0.132759
[PI-INFO] Total time,0.132785
[PI-INFO] Total time,0.132794
[PI-INFO] Total time,0.132798
[PI-INFO] Total time,0.132802
[PI-INFO] Total time,0.132807
[PI-INFO] Total time,0.132830
[PI-INFO] Total time,0.132839
[PI-INFO] Total time,0.132843
[PI-INFO] Total time,0.132847
[PI-INFO] Total time,0.132851
[PI-INFO] Total time,0.132855
[PI-INFO] Total time,0.132859
[PI-INFO] Total time,0.132863
[PI-INFO] Total time,0.132868
[PI-INFO] Total time,0.132872
[PI-INFO] Total time,0.132877
[PI-INFO] Total time,0.132901
[PI-INFO] Total time,0.132909
[PI-INFO] Total time,0.132545
[PI-INFO] Total time,0.132938
[PI-INFO] Total time,0.132943
[PI-INFO] Total time,0.132947
[PI-INFO] Total time,0.132951
[PI-INFO] Total time,0.132955
[PI-INFO] Total time,0.132959
[PI-INFO] Total time,0.132964
[PI-INFO] Total time,0.132969
[PI-INFO] Total time,0.132973
[PI-INFO] Total time,0.132977
[PI-INFO] Total time,0.132981
[PI-INFO] Total time,0.132985
[PI-INFO] Total time,0.132988
[PI-INFO] Total time,0.132992
[PI-INFO] Total time,0.132996
[PI-INFO] Total time,0.133000
[PI-INFO] Total time,0.133006
[PI-INFO] Total time,0.133010
[PI-INFO] Total time,0.133014
[PI-INFO] Total time,0.133018
[PI-INFO] Total time,0.133022
[PI-INFO] Total time,0.133026
[PI-INFO] Total time,0.133028
[PI-INFO] Total time,0.133032
[PI-INFO] Total time,0.133037
[PI-INFO] Total time,0.133042
[PI-INFO] Total time,0.133047
[PI-INFO] Total time,0.133051
[PI-INFO] Total time,0.133055
[PI-INFO] Total time,0.133058
[PI-INFO] Total time,0.133062
[PI-INFO] Total time,0.133065
[PI-INFO] Total time,0.133068
[PI-INFO] Total time,0.133073
[PI-INFO] Total time,0.133078
[PI-INFO] Total time,0.133083
[PI-INFO] Total time,0.133087
[PI-INFO] Total time,0.133091
[PI-INFO] Total time,0.133095
[PI-INFO] Total time,0.133099
[PI-INFO] Total time,0.133101
[PI-INFO] Total time,0.133105
[PI-INFO] Total time,0.133110
