--------------------------------------------------------------------------
[[15255,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-3-141

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
Running with these driver parameters:
  solver ID    = 3

  Laplacian_27pt:
    (Nx, Ny, Nz) = (10, 20, 10)
    (Px, Py, Pz) = (1, 2, 1)

[PI-INFO] Total time,0.132472
[PI-INFO] Total time,0.132495
[PI-INFO] Total time,0.132500
[PI-INFO] Total time,0.132504
[PI-INFO] Total time,0.132508
[PI-INFO] Total time,0.132512
[PI-INFO] Total time,0.132515
[PI-INFO] Total time,0.132519
[PI-INFO] Total time,0.132523
[PI-INFO] Total time,0.132527
[PI-INFO] Total time,0.132531
[PI-INFO] Total time,0.132536
[PI-INFO] Total time,0.132540
[PI-INFO] Total time,0.132545
[PI-INFO] Total time,0.132549
[PI-INFO] Total time,0.132554
[PI-INFO] Total time,0.132582
[PI-INFO] Total time,0.132593
[PI-INFO] Total time,0.132599
[PI-INFO] Total time,0.132603
[PI-INFO] Total time,0.132608
[PI-INFO] Total time,0.132612
[PI-INFO] Total time,0.132616
[PI-INFO] Total time,0.132621
[PI-INFO] Total time,0.132646
[PI-INFO] Total time,0.132659
[PI-INFO] Total time,0.132664
[PI-INFO] Total time,0.132668
[PI-INFO] Total time,0.132692
[PI-INFO] Total time,0.132701
[PI-INFO] Total time,0.132705
[PI-INFO] Total time,0.132710
[PI-INFO] Total time,0.132714
[PI-INFO] Total time,0.132737
[PI-INFO] Total time,0.132746
[PI-INFO] Total time,0.132750
[PI-INFO] Total time,0.132756
[PI-INFO] Total time,0.132760
[PI-INFO] Total time,0.132765
[PI-INFO] Total time,0.132770
[PI-INFO] Total time,0.132774
[PI-INFO] Total time,0.132778
[PI-INFO] Total time,0.132783
[PI-INFO] Total time,0.132808
[PI-INFO] Total time,0.132818
[PI-INFO] Total time,0.132822
[PI-INFO] Total time,0.132826
[PI-INFO] Total time,0.132830
[PI-INFO] Total time,0.132835
[PI-INFO] Total time,0.132839
[PI-INFO] Total time,0.132862
[PI-INFO] Total time,0.132871
[PI-INFO] Total time,0.132875
[PI-INFO] Total time,0.132880
[PI-INFO] Total time,0.132884
[PI-INFO] Total time,0.132907
[PI-INFO] Total time,0.132485
[PI-INFO] Total time,0.132944
[PI-INFO] Total time,0.132946
[PI-INFO] Total time,0.132948
[PI-INFO] Total time,0.132950
[PI-INFO] Total time,0.132952
[PI-INFO] Total time,0.132956
[PI-INFO] Total time,0.132961
[PI-INFO] Total time,0.132965
[PI-INFO] Total time,0.132970
[PI-INFO] Total time,0.132974
[PI-INFO] Total time,0.132978
[PI-INFO] Total time,0.132988
[PI-INFO] Total time,0.132992
[PI-INFO] Total time,0.133001
[PI-INFO] Total time,0.133006
[PI-INFO] Total time,0.133013
[PI-INFO] Total time,0.133018
[PI-INFO] Total time,0.133026
[PI-INFO] Total time,0.133030
[PI-INFO] Total time,0.133034
[PI-INFO] Total time,0.133039
[PI-INFO] Total time,0.133043
[PI-INFO] Total time,0.133047
[PI-INFO] Total time,0.133052
[PI-INFO] Total time,0.133061
[PI-INFO] Total time,0.133066
[PI-INFO] Total time,0.133071
[PI-INFO] Total time,0.133079
[PI-INFO] Total time,0.133084
[PI-INFO] Total time,0.133092
[PI-INFO] Total time,0.133096
[PI-INFO] Total time,0.133104
[PI-INFO] Total time,0.133108
[PI-INFO] Total time,0.133116
[PI-INFO] Total time,0.133121
[PI-INFO] Total time,0.133128
[PI-INFO] Total time,0.133133
[PI-INFO] Total time,0.133141
[PI-INFO] Total time,0.133145
[PI-INFO] Total time,0.133153
[PI-INFO] Total time,0.133157
[PI-INFO] Total time,0.133166
[PI-INFO] Total time,0.133172
