[ip-172-31-5-71:02232] plm:rsh: Warning: setpgid(2257,2257) failed in parent with errno=Permission denied(13)
--------------------------------------------------------------------------
[[1706,1],3]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-10-165

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
[PI-INFO] Init time,23,0.152526
[PI-INFO] Init time,3,0.153659
[PI-INFO] Init time,20,0.153680
[PI-INFO] Init time,15,0.152988
[PI-INFO] Init time,18,0.152391
[PI-INFO] Init time,28,0.152533
[PI-INFO] Init time,24,0.153917
[PI-INFO] Init time,8,0.153399
[PI-INFO] Init time,16,0.153768
[PI-INFO] Init time,26,0.153012
[PI-INFO] Init time,31,0.152639
[PI-INFO] Init time,11,0.153377
[PI-INFO] Init time,6,0.153821
[PI-INFO] Init time,10,0.153309
[PI-INFO] Init time,13,0.152569
[PI-INFO] Init time,29,0.153841
[PI-INFO] Init time,21,0.152427
[PI-INFO] Init time,22,0.152679
[PI-INFO] Init time,14,0.152321
[PI-INFO] Init time,27,0.153232
[PI-INFO] Init time,30,0.153197
[PI-INFO] Init time,25,0.152199
[PI-INFO] Init time,2,0.152898
[PI-INFO] Init time,9,0.153006
[PI-INFO] Init time,1,0.152670
[PI-INFO] Init time,7,0.153261
[PI-INFO] Init time,4,0.153175
[PI-INFO] Init time,12,0.152645
[PI-INFO] Init time,5,0.152231
[PI-INFO] Init time,17,0.152154
[PI-INFO] Init time,19,0.152419
[PI-INFO] Init time,0,0.144195
[PI-INFO] Paramount Iteration,0,1,0.337536,0.193342
[PI-INFO] Paramount Iteration,1,1,0.437387,0.284717
[PI-INFO] Paramount Iteration,2,1,0.524185,0.371287
[PI-INFO] Paramount Iteration,0,2,0.529676,0.192140
[PI-INFO] Paramount Iteration,3,1,0.616457,0.462798
[PI-INFO] Paramount Iteration,1,2,0.628986,0.191599
[PI-INFO] Paramount Iteration,4,1,0.709049,0.555874
[PI-INFO] Paramount Iteration,2,2,0.714599,0.190414
[PI-INFO] Paramount Iteration,0,3,0.717897,0.188221
[PI-INFO] Paramount Iteration,5,1,0.800362,0.648131
[PI-INFO] Paramount Iteration,3,2,0.806304,0.189847
[PI-INFO] Paramount Iteration,1,3,0.815263,0.186277
[PI-INFO] Paramount Iteration,6,1,0.892677,0.738856
[PI-INFO] Paramount Iteration,7,1,0.892902,0.739641
[PI-INFO] Paramount Iteration,8,1,0.893260,0.739861
[PI-INFO] Paramount Iteration,9,1,0.892885,0.739880
[PI-INFO] Paramount Iteration,10,1,0.893309,0.740000
[PI-INFO] Paramount Iteration,11,1,0.893451,0.740074
[PI-INFO] Paramount Iteration,12,1,0.892765,0.740120
[PI-INFO] Paramount Iteration,13,1,0.892880,0.740311
[PI-INFO] Paramount Iteration,14,1,0.892711,0.740390
[PI-INFO] Paramount Iteration,15,1,0.894611,0.741623
[PI-INFO] Paramount Iteration,16,1,0.895170,0.741402
[PI-INFO] Paramount Iteration,17,1,0.893555,0.741401
[PI-INFO] Paramount Iteration,18,1,0.894412,0.742022
[PI-INFO] Paramount Iteration,19,1,0.893959,0.741540
[PI-INFO] Paramount Iteration,20,1,0.895898,0.742218
[PI-INFO] Paramount Iteration,21,1,0.894311,0.741885
[PI-INFO] Paramount Iteration,22,1,0.894663,0.741984
[PI-INFO] Paramount Iteration,23,1,0.895822,0.743296
[PI-INFO] Paramount Iteration,24,1,0.896891,0.742974
[PI-INFO] Paramount Iteration,25,1,0.895170,0.742971
[PI-INFO] Paramount Iteration,26,1,0.896108,0.743096
[PI-INFO] Paramount Iteration,27,1,0.896403,0.743171
[PI-INFO] Paramount Iteration,28,1,0.896192,0.743659
[PI-INFO] Paramount Iteration,29,1,0.897190,0.743349
[PI-INFO] Paramount Iteration,30,1,0.896633,0.743436
[PI-INFO] Paramount Iteration,31,1,0.896116,0.743477
[PI-INFO] Paramount Iteration,4,2,0.897669,0.188620
[PI-INFO] Paramount Iteration,2,3,0.899455,0.184856
[PI-INFO] Paramount Iteration,0,4,0.906793,0.188896
[PI-INFO] Paramount Iteration,5,2,0.988130,0.187768
[PI-INFO] Paramount Iteration,3,3,0.990244,0.183940
[PI-INFO] Paramount Iteration,1,4,1.004209,0.188946
[PI-INFO] Paramount Iteration,6,2,1.079923,0.187246
[PI-INFO] Paramount Iteration,7,2,1.079427,0.186525
[PI-INFO] Paramount Iteration,4,3,1.079616,0.181947
[PI-INFO] Paramount Iteration,8,2,1.087128,0.193868
[PI-INFO] Paramount Iteration,2,4,1.088213,0.188758
[PI-INFO] Paramount Iteration,0,5,1.095593,0.188800
[PI-INFO] Paramount Iteration,5,3,1.168531,0.180401
[PI-INFO] Paramount Iteration,9,2,1.175505,0.282620
[PI-INFO] Paramount Iteration,3,4,1.178165,0.187921
[PI-INFO] Paramount Iteration,1,5,1.193103,0.188894
[PI-INFO] Paramount Iteration,6,3,1.258443,0.178520
[PI-INFO] Paramount Iteration,7,3,1.257949,0.178522
[PI-INFO] Paramount Iteration,10,2,1.264428,0.371119
[PI-INFO] Paramount Iteration,4,4,1.267547,0.187931
[PI-INFO] Paramount Iteration,8,3,1.270668,0.183540
[PI-INFO] Paramount Iteration,2,5,1.277131,0.188918
[PI-INFO] Paramount Iteration,0,6,1.284332,0.188739
[PI-INFO] Paramount Iteration,11,2,1.353579,0.460128
[PI-INFO] Paramount Iteration,5,4,1.356339,0.187808
[PI-INFO] Paramount Iteration,9,3,1.357254,0.181749
[PI-INFO] Paramount Iteration,3,5,1.367012,0.188847
[PI-INFO] Paramount Iteration,1,6,1.381868,0.188765
[PI-INFO] Paramount Iteration,12,2,1.441697,0.548932
[PI-INFO] Paramount Iteration,10,3,1.444342,0.179914
[PI-INFO] Paramount Iteration,6,4,1.446229,0.187786
[PI-INFO] Paramount Iteration,7,4,1.445726,0.187777
[PI-INFO] Paramount Iteration,8,4,1.452817,0.182149
[PI-INFO] Paramount Iteration,4,5,1.456242,0.188695
[PI-INFO] Paramount Iteration,2,6,1.465822,0.188691
[PI-INFO] Paramount Iteration,0,7,1.473363,0.189031
[PI-INFO] Paramount Iteration,13,2,1.531529,0.638649
[PI-INFO] Paramount Iteration,11,3,1.532449,0.178870
[PI-INFO] Paramount Iteration,9,4,1.539452,0.182198
[PI-INFO] Paramount Iteration,5,5,1.545094,0.188755
[PI-INFO] Paramount Iteration,3,6,1.555639,0.188627
[PI-INFO] Paramount Iteration,1,7,1.570915,0.189047
[PI-INFO] Paramount Iteration,14,2,1.615703,0.722992
[PI-INFO] Paramount Iteration,15,2,1.616812,0.722201
[PI-INFO] Paramount Iteration,16,2,1.617396,0.722226
[PI-INFO] Paramount Iteration,17,2,1.615779,0.722224
[PI-INFO] Paramount Iteration,18,2,1.616629,0.722217
[PI-INFO] Paramount Iteration,19,2,1.616163,0.722204
[PI-INFO] Paramount Iteration,20,2,1.618086,0.722188
[PI-INFO] Paramount Iteration,21,2,1.616508,0.722197
[PI-INFO] Paramount Iteration,22,2,1.616889,0.722226
[PI-INFO] Paramount Iteration,23,2,1.617344,0.721522
[PI-INFO] Paramount Iteration,24,2,1.618424,0.721533
[PI-INFO] Paramount Iteration,25,2,1.616706,0.721536
[PI-INFO] Paramount Iteration,26,2,1.617645,0.721537
[PI-INFO] Paramount Iteration,27,2,1.617967,0.721564
