--------------------------------------------------------------------------
[[65112,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-7-230

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
# MPI Nearest Neighbor Communication
# Info:
# Processor Grid:              16 x       1 x       1
# Data Grid (per rank):       100 x     100 x     100
# Iterations:             10000000
# Variables:                    1
# Sleep:                     1000
[PI-INFO] Init time,0,0.126811
[PI-INFO] Init time,9,0.119170
[PI-INFO] Init time,2,0.118991
[PI-INFO] Init time,8,0.118616
[PI-INFO] Init time,15,0.119345
[PI-INFO] Init time,7,0.119526
[PI-INFO] Init time,3,0.117919
[PI-INFO] Init time,13,0.118317
[PI-INFO] Init time,5,0.118515
[PI-INFO] Init time,11,0.117860
[PI-INFO] Init time,4,0.117809
[PI-INFO] Init time,14,0.118680
[PI-INFO] Init time,10,0.118756
[PI-INFO] Init time,12,0.118152
[PI-INFO] Init time,1,0.117685
[PI-INFO] Init time,6,0.118172
[PI-INFO] Paramount Iteration,0,1,0.127480,0.000669
[PI-INFO] Paramount Iteration,15,1,0.120013,0.000668
[PI-INFO] Paramount Iteration,8,1,0.119450,0.000834
[PI-INFO] Paramount Iteration,7,1,0.120353,0.000827
[PI-INFO] Paramount Iteration,3,1,0.118757,0.000838
[PI-INFO] Paramount Iteration,4,1,0.118634,0.000826
[PI-INFO] Paramount Iteration,2,1,0.119851,0.000861
[PI-INFO] Paramount Iteration,14,1,0.119517,0.000837
[PI-INFO] Paramount Iteration,10,1,0.119590,0.000834
[PI-INFO] Paramount Iteration,13,1,0.119188,0.000872
[PI-INFO] Paramount Iteration,6,1,0.119032,0.000860
[PI-INFO] Paramount Iteration,9,1,0.120106,0.000936
[PI-INFO] Paramount Iteration,5,1,0.119441,0.000926
[PI-INFO] Paramount Iteration,11,1,0.118744,0.000884
[PI-INFO] Paramount Iteration,12,1,0.119038,0.000886
[PI-INFO] Paramount Iteration,1,1,0.118552,0.000867
[PI-INFO] Paramount Iteration,4,2,0.118963,0.000329
[PI-INFO] Paramount Iteration,0,2,0.128027,0.000547
[PI-INFO] Paramount Iteration,9,2,0.120393,0.000287
[PI-INFO] Paramount Iteration,8,2,0.119781,0.000331
[PI-INFO] Paramount Iteration,14,2,0.119782,0.000265
[PI-INFO] Paramount Iteration,3,2,0.119095,0.000338
[PI-INFO] Paramount Iteration,5,2,0.119729,0.000288
[PI-INFO] Paramount Iteration,11,2,0.119039,0.000295
[PI-INFO] Paramount Iteration,6,2,0.119315,0.000283
[PI-INFO] Paramount Iteration,2,2,0.120160,0.000309
[PI-INFO] Paramount Iteration,15,2,0.120566,0.000553
[PI-INFO] Paramount Iteration,7,2,0.120753,0.000400
[PI-INFO] Paramount Iteration,10,2,0.119945,0.000355
[PI-INFO] Paramount Iteration,13,2,0.119526,0.000338
[PI-INFO] Paramount Iteration,12,2,0.119342,0.000304
[PI-INFO] Paramount Iteration,1,2,0.118906,0.000354
[PI-INFO] Paramount Iteration,0,3,0.128272,0.000245
[PI-INFO] Paramount Iteration,15,3,0.120791,0.000225
[PI-INFO] Paramount Iteration,3,3,0.119367,0.000272
[PI-INFO] Paramount Iteration,9,3,0.120662,0.000269
[PI-INFO] Paramount Iteration,8,3,0.120102,0.000321
[PI-INFO] Paramount Iteration,7,3,0.121009,0.000256
[PI-INFO] Paramount Iteration,14,3,0.120108,0.000326
[PI-INFO] Paramount Iteration,13,3,0.119795,0.000269
[PI-INFO] Paramount Iteration,5,3,0.120029,0.000300
[PI-INFO] Paramount Iteration,11,3,0.119358,0.000319
[PI-INFO] Paramount Iteration,4,3,0.119258,0.000295
[PI-INFO] Paramount Iteration,6,3,0.119637,0.000322
[PI-INFO] Paramount Iteration,2,3,0.120520,0.000360
[PI-INFO] Paramount Iteration,10,3,0.120264,0.000319
[PI-INFO] Paramount Iteration,12,3,0.119657,0.000315
[PI-INFO] Paramount Iteration,1,3,0.119204,0.000298
[PI-INFO] Paramount Iteration,0,4,0.128558,0.000286
[PI-INFO] Paramount Iteration,14,4,0.120352,0.000244
[PI-INFO] Paramount Iteration,9,4,0.120969,0.000307
[PI-INFO] Paramount Iteration,8,4,0.120363,0.000261
[PI-INFO] Paramount Iteration,15,4,0.121077,0.000286
[PI-INFO] Paramount Iteration,7,4,0.121297,0.000288
[PI-INFO] Paramount Iteration,5,4,0.120306,0.000277
[PI-INFO] Paramount Iteration,4,4,0.119567,0.000309
[PI-INFO] Paramount Iteration,6,4,0.119906,0.000269
[PI-INFO] Paramount Iteration,2,4,0.120798,0.000278
[PI-INFO] Paramount Iteration,10,4,0.120550,0.000286
[PI-INFO] Paramount Iteration,13,4,0.120125,0.000330
[PI-INFO] Paramount Iteration,11,4,0.119658,0.000300
[PI-INFO] Paramount Iteration,12,4,0.119949,0.000292
[PI-INFO] Paramount Iteration,1,4,0.119494,0.000290
[PI-INFO] Paramount Iteration,15,5,0.121292,0.000215
[PI-INFO] Paramount Iteration,3,4,0.119825,0.000458
[PI-INFO] Paramount Iteration,0,5,0.128840,0.000282
[PI-INFO] Paramount Iteration,8,5,0.120660,0.000297
[PI-INFO] Paramount Iteration,7,5,0.121568,0.000271
[PI-INFO] Paramount Iteration,14,5,0.120656,0.000304
[PI-INFO] Paramount Iteration,5,5,0.120579,0.000273
[PI-INFO] Paramount Iteration,9,5,0.121276,0.000307
[PI-INFO] Paramount Iteration,10,5,0.120836,0.000286
[PI-INFO] Paramount Iteration,13,5,0.120407,0.000282
[PI-INFO] Paramount Iteration,11,5,0.119947,0.000289
[PI-INFO] Paramount Iteration,1,5,0.119776,0.000282
[PI-INFO] Paramount Iteration,6,5,0.120215,0.000309
[PI-INFO] Paramount Iteration,2,5,0.121122,0.000324
[PI-INFO] Paramount Iteration,3,5,0.120107,0.000282
[PI-INFO] Paramount Iteration,12,5,0.120250,0.000301
[PI-INFO] Paramount Iteration,15,6,0.121601,0.000309
[PI-INFO] Paramount Iteration,4,5,0.120065,0.000498
[PI-INFO] Paramount Iteration,0,6,0.129114,0.000274
[PI-INFO] Paramount Iteration,7,6,0.121834,0.000266
[PI-INFO] Paramount Iteration,9,6,0.121540,0.000264
[PI-INFO] Paramount Iteration,8,6,0.120959,0.000299
[PI-INFO] Paramount Iteration,14,6,0.120944,0.000288
[PI-INFO] Paramount Iteration,13,6,0.120677,0.000270
[PI-INFO] Paramount Iteration,11,6,0.120238,0.000291
[PI-INFO] Paramount Iteration,6,6,0.120479,0.000264
[PI-INFO] Paramount Iteration,10,6,0.121129,0.000293
[PI-INFO] Paramount Iteration,12,6,0.120557,0.000307
[PI-INFO] Paramount Iteration,1,6,0.120104,0.000328
[PI-INFO] Paramount Iteration,2,6,0.121416,0.000294
[PI-INFO] Paramount Iteration,3,6,0.120435,0.000328
[PI-INFO] Paramount Iteration,4,6,0.120313,0.000248
[PI-INFO] Paramount Iteration,15,7,0.121891,0.000290
[PI-INFO] Paramount Iteration,5,6,0.121113,0.000534
[PI-INFO] Paramount Iteration,8,7,0.121210,0.000251
[PI-INFO] Paramount Iteration,0,7,0.129457,0.000343
[PI-INFO] Paramount Iteration,7,7,0.122131,0.000297
[PI-INFO] Paramount Iteration,14,7,0.121249,0.000305
[PI-INFO] Paramount Iteration,9,7,0.121824,0.000284
[PI-INFO] Paramount Iteration,10,7,0.121403,0.000274
[PI-INFO] Paramount Iteration,13,7,0.120969,0.000292
[PI-INFO] Paramount Iteration,11,7,0.120552,0.000314
[PI-INFO] Paramount Iteration,12,7,0.120844,0.000287
[PI-INFO] Paramount Iteration,1,7,0.120403,0.000299
[PI-INFO] Paramount Iteration,2,7,0.121733,0.000317
[PI-INFO] Paramount Iteration,3,7,0.120709,0.000274
[PI-INFO] Paramount Iteration,4,7,0.120631,0.000318
[PI-INFO] Paramount Iteration,8,8,0.121493,0.000283
[PI-INFO] Paramount Iteration,15,8,0.122202,0.000311
[PI-INFO] Paramount Iteration,14,8,0.121494,0.000245
[PI-INFO] Paramount Iteration,5,7,0.121390,0.000277
[PI-INFO] Paramount Iteration,0,8,0.129788,0.000331
[PI-INFO] Paramount Iteration,9,8,0.122100,0.000276
[PI-INFO] Paramount Iteration,10,8,0.121694,0.000291
[PI-INFO] Paramount Iteration,13,8,0.121279,0.000310
[PI-INFO] Paramount Iteration,11,8,0.120830,0.000278
[PI-INFO] Paramount Iteration,6,7,0.121073,0.000594
[PI-INFO] Paramount Iteration,2,8,0.122025,0.000292
[PI-INFO] Paramount Iteration,12,8,0.121117,0.000273
[PI-INFO] Paramount Iteration,15,9,0.122438,0.000236
[PI-INFO] Paramount Iteration,3,8,0.121007,0.000298
[PI-INFO] Paramount Iteration,4,8,0.120904,0.000273
[PI-INFO] Paramount Iteration,1,8,0.120739,0.000336
[PI-INFO] Paramount Iteration,9,9,0.122384,0.000284
[PI-INFO] Paramount Iteration,6,8,0.121333,0.000260
[PI-INFO] Paramount Iteration,7,8,0.122767,0.000636
[PI-INFO] Paramount Iteration,14,9,0.121841,0.000347
[PI-INFO] Paramount Iteration,10,9,0.121951,0.000257
[PI-INFO] Paramount Iteration,13,9,0.121547,0.000268
[PI-INFO] Paramount Iteration,5,8,0.121762,0.000372
[PI-INFO] Paramount Iteration,11,9,0.121111,0.000281
[PI-INFO] Paramount Iteration,12,9,0.121415,0.000298
[PI-INFO] Paramount Iteration,0,9,0.130138,0.000350
[PI-INFO] Paramount Iteration,2,9,0.122314,0.000289
[PI-INFO] Paramount Iteration,3,9,0.121276,0.000269
[PI-INFO] Paramount Iteration,1,9,0.121040,0.000301
[PI-INFO] Paramount Iteration,15,10,0.122850,0.000412
[PI-INFO] Paramount Iteration,7,9,0.123002,0.000235
[PI-INFO] Paramount Iteration,14,10,0.122076,0.000235
[PI-INFO] Paramount Iteration,10,10,0.122259,0.000308
[PI-INFO] Paramount Iteration,5,9,0.122025,0.000263
[PI-INFO] Paramount Iteration,0,10,0.130434,0.000296
[PI-INFO] Paramount Iteration,8,9,0.122172,0.000679
[PI-INFO] Paramount Iteration,13,10,0.121889,0.000342
[PI-INFO] Paramount Iteration,11,10,0.121389,0.000278
