[ip-172-31-15-84:16639] plm:rsh: Warning: setpgid(16646,16646) failed in parent with errno=Permission denied(13)
--------------------------------------------------------------------------
[[57394,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-15-84

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
[PI-INFO] Init time,0,0.147805
[PI-INFO] Init time,12,0.138966
[PI-INFO] Init time,2,0.140881
[PI-INFO] Init time,4,0.139303
[PI-INFO] Init time,5,0.139351
[PI-INFO] Init time,6,0.139200
[PI-INFO] Init time,13,0.139159
[PI-INFO] Init time,14,0.139162
[PI-INFO] Init time,8,0.139147
[PI-INFO] Init time,10,0.139293
[PI-INFO] Init time,15,0.139276
[PI-INFO] Init time,3,0.139297
[PI-INFO] Init time,7,0.139293
[PI-INFO] Init time,1,0.139357
[PI-INFO] Init time,11,0.139254
[PI-INFO] Init time,9,0.140735
[PI-INFO] Paramount Iteration,0,1,0.338360,0.190555
[PI-INFO] Paramount Iteration,1,1,0.421441,0.282084
[PI-INFO] Paramount Iteration,2,1,0.513460,0.372580
[PI-INFO] Paramount Iteration,3,1,0.512665,0.373369
[PI-INFO] Paramount Iteration,4,1,0.512900,0.373597
[PI-INFO] Paramount Iteration,5,1,0.512980,0.373629
[PI-INFO] Paramount Iteration,6,1,0.512910,0.373710
[PI-INFO] Paramount Iteration,7,1,0.513743,0.374450
[PI-INFO] Paramount Iteration,8,1,0.513826,0.374679
[PI-INFO] Paramount Iteration,9,1,0.513778,0.373043
[PI-INFO] Paramount Iteration,10,1,0.514030,0.374737
[PI-INFO] Paramount Iteration,11,1,0.514742,0.375488
[PI-INFO] Paramount Iteration,12,1,0.514760,0.375794
[PI-INFO] Paramount Iteration,13,1,0.514933,0.375774
[PI-INFO] Paramount Iteration,14,1,0.515023,0.375861
[PI-INFO] Paramount Iteration,15,1,0.515138,0.375863
[PI-INFO] Paramount Iteration,0,2,0.527358,0.188998
[PI-INFO] Paramount Iteration,1,2,0.609328,0.187887
[PI-INFO] Paramount Iteration,2,2,0.701060,0.187600
[PI-INFO] Paramount Iteration,3,2,0.699542,0.186877
[PI-INFO] Paramount Iteration,4,2,0.699771,0.186871
[PI-INFO] Paramount Iteration,0,3,0.712475,0.185117
[PI-INFO] Paramount Iteration,5,2,0.786353,0.273373
[PI-INFO] Paramount Iteration,1,3,0.793064,0.183736
[PI-INFO] Paramount Iteration,6,2,0.874577,0.361667
[PI-INFO] Paramount Iteration,7,2,0.874708,0.360965
[PI-INFO] Paramount Iteration,8,2,0.874787,0.360961
[PI-INFO] Paramount Iteration,9,2,0.874744,0.360966
[PI-INFO] Paramount Iteration,10,2,0.877756,0.363726
[PI-INFO] Paramount Iteration,11,2,0.877736,0.362994
[PI-INFO] Paramount Iteration,12,2,0.877757,0.362997
