--------------------------------------------------------------------------
[[24535,1],13]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-13-154

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
[PI-INFO] Init time,24,0.147565
[PI-INFO] Init time,1,0.147575
[PI-INFO] Init time,4,0.147938
[PI-INFO] Init time,10,0.148324
[PI-INFO] Init time,6,0.147203
[PI-INFO] Init time,13,0.149051
[PI-INFO] Init time,21,0.148167
[PI-INFO] Init time,23,0.147621
[PI-INFO] Init time,14,0.146931
[PI-INFO] Init time,25,0.148295
[PI-INFO] Init time,16,0.148181
[PI-INFO] Init time,18,0.148039
[PI-INFO] Init time,17,0.147489
[PI-INFO] Init time,8,0.147461
[PI-INFO] Init time,9,0.147301
[PI-INFO] Init time,29,0.147549
[PI-INFO] Init time,22,0.147223
[PI-INFO] Init time,15,0.147749
[PI-INFO] Init time,30,0.147739
[PI-INFO] Init time,27,0.147445
[PI-INFO] Init time,31,0.147571
[PI-INFO] Init time,26,0.147513
[PI-INFO] Init time,2,0.147772
[PI-INFO] Init time,3,0.147284
[PI-INFO] Init time,7,0.147692
[PI-INFO] Init time,28,0.148326
[PI-INFO] Init time,11,0.147780
[PI-INFO] Init time,12,0.147778
[PI-INFO] Init time,5,0.147516
[PI-INFO] Init time,19,0.147247
[PI-INFO] Init time,20,0.149795
[PI-INFO] Init time,0,0.145225
[PI-INFO] Paramount Iteration,0,1,0.335862,0.190638
[PI-INFO] Paramount Iteration,1,1,0.430539,0.282964
[PI-INFO] Paramount Iteration,2,1,0.521969,0.374197
[PI-INFO] Paramount Iteration,0,2,0.524678,0.188816
[PI-INFO] Paramount Iteration,3,1,0.612096,0.464812
[PI-INFO] Paramount Iteration,1,2,0.619106,0.188567
[PI-INFO] Paramount Iteration,4,1,0.703987,0.556049
[PI-INFO] Paramount Iteration,2,2,0.709629,0.187660
[PI-INFO] Paramount Iteration,0,3,0.710586,0.185908
[PI-INFO] Paramount Iteration,5,1,0.794213,0.646697
[PI-INFO] Paramount Iteration,3,2,0.799259,0.187163
[PI-INFO] Paramount Iteration,1,3,0.803295,0.184189
[PI-INFO] Paramount Iteration,6,1,0.885808,0.738605
[PI-INFO] Paramount Iteration,7,1,0.887077,0.739385
[PI-INFO] Paramount Iteration,8,1,0.887077,0.739617
[PI-INFO] Paramount Iteration,9,1,0.886944,0.739643
[PI-INFO] Paramount Iteration,10,1,0.888098,0.739774
[PI-INFO] Paramount Iteration,11,1,0.887584,0.739804
[PI-INFO] Paramount Iteration,12,1,0.887695,0.739917
[PI-INFO] Paramount Iteration,13,1,0.889157,0.740106
[PI-INFO] Paramount Iteration,14,1,0.887092,0.740161
[PI-INFO] Paramount Iteration,15,1,0.888759,0.741010
[PI-INFO] Paramount Iteration,16,1,0.889294,0.741113
[PI-INFO] Paramount Iteration,17,1,0.888630,0.741141
[PI-INFO] Paramount Iteration,18,1,0.889274,0.741235
[PI-INFO] Paramount Iteration,19,1,0.888511,0.741265
[PI-INFO] Paramount Iteration,20,1,0.889657,0.739862
[PI-INFO] Paramount Iteration,21,1,0.889712,0.741545
[PI-INFO] Paramount Iteration,22,1,0.888879,0.741656
[PI-INFO] Paramount Iteration,4,2,0.890208,0.186221
[PI-INFO] Paramount Iteration,23,1,0.890098,0.742477
[PI-INFO] Paramount Iteration,24,1,0.890204,0.742639
[PI-INFO] Paramount Iteration,25,1,0.890932,0.742637
[PI-INFO] Paramount Iteration,26,1,0.890237,0.742725
[PI-INFO] Paramount Iteration,27,1,0.890231,0.742786
[PI-INFO] Paramount Iteration,28,1,0.891155,0.742830
[PI-INFO] Paramount Iteration,29,1,0.890484,0.742936
[PI-INFO] Paramount Iteration,30,1,0.890780,0.743041
[PI-INFO] Paramount Iteration,31,1,0.890661,0.743091
[PI-INFO] Paramount Iteration,2,3,0.891989,0.182360
[PI-INFO] Paramount Iteration,0,4,0.896227,0.185641
[PI-INFO] Paramount Iteration,5,2,0.980035,0.185822
[PI-INFO] Paramount Iteration,3,3,0.979932,0.180673
[PI-INFO] Paramount Iteration,1,4,0.989014,0.185719
[PI-INFO] Paramount Iteration,6,2,1.071376,0.185568
[PI-INFO] Paramount Iteration,7,2,1.071934,0.184857
[PI-INFO] Paramount Iteration,8,2,1.071922,0.184845
[PI-INFO] Paramount Iteration,4,3,1.072331,0.182123
[PI-INFO] Paramount Iteration,2,4,1.077551,0.185562
[PI-INFO] Paramount Iteration,0,5,1.081884,0.185657
[PI-INFO] Paramount Iteration,5,3,1.160313,0.180278
[PI-INFO] Paramount Iteration,9,2,1.160407,0.273463
[PI-INFO] Paramount Iteration,3,4,1.165433,0.185501
[PI-INFO] Paramount Iteration,1,5,1.174456,0.185442
[PI-INFO] Paramount Iteration,10,2,1.250300,0.362202
[PI-INFO] Paramount Iteration,6,3,1.249910,0.178534
[PI-INFO] Paramount Iteration,7,3,1.250458,0.178524
[PI-INFO] Paramount Iteration,8,3,1.252671,0.180749
