--------------------------------------------------------------------------
[[15728,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-3-69

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
# MPI Nearest Neighbor Communication
# Info:
# Processor Grid:              16 x       1 x       1
# Data Grid (per rank):       100 x     100 x     100
# Iterations:             10000000
# Variables:                    1
# Sleep:                     1000
[PI-INFO] Init time,15,0.118766
[PI-INFO] Init time,0,0.124836
[PI-INFO] Init time,6,0.117587
[PI-INFO] Init time,8,0.117022
[PI-INFO] Init time,3,0.116705
[PI-INFO] Init time,2,0.116937
[PI-INFO] Init time,9,0.117211
[PI-INFO] Init time,4,0.116975
[PI-INFO] Init time,1,0.116710
[PI-INFO] Init time,13,0.116882
[PI-INFO] Init time,10,0.116612
[PI-INFO] Init time,12,0.116204
[PI-INFO] Init time,5,0.116569
[PI-INFO] Init time,14,0.116643
[PI-INFO] Init time,11,0.116519
[PI-INFO] Init time,7,0.116615
[PI-INFO] Paramount Iteration,15,1,0.119440,0.000674
[PI-INFO] Paramount Iteration,0,1,0.125580,0.000744
[PI-INFO] Paramount Iteration,8,1,0.117888,0.000866
[PI-INFO] Paramount Iteration,9,1,0.118073,0.000862
[PI-INFO] Paramount Iteration,13,1,0.117807,0.000925
[PI-INFO] Paramount Iteration,10,1,0.117536,0.000924
[PI-INFO] Paramount Iteration,5,1,0.117460,0.000891
[PI-INFO] Paramount Iteration,3,1,0.117682,0.000977
[PI-INFO] Paramount Iteration,14,1,0.117579,0.000936
[PI-INFO] Paramount Iteration,11,1,0.117420,0.000901
[PI-INFO] Paramount Iteration,7,1,0.117505,0.000890
[PI-INFO] Paramount Iteration,6,1,0.118536,0.000949
[PI-INFO] Paramount Iteration,2,1,0.117941,0.001004
[PI-INFO] Paramount Iteration,4,1,0.117884,0.000909
[PI-INFO] Paramount Iteration,1,1,0.117654,0.000944
[PI-INFO] Paramount Iteration,12,1,0.117145,0.000941
[PI-INFO] Paramount Iteration,8,2,0.118196,0.000308
[PI-INFO] Paramount Iteration,10,2,0.117848,0.000312
[PI-INFO] Paramount Iteration,15,2,0.120103,0.000663
[PI-INFO] Paramount Iteration,9,2,0.118444,0.000371
[PI-INFO] Paramount Iteration,11,2,0.117784,0.000364
[PI-INFO] Paramount Iteration,7,2,0.117852,0.000347
[PI-INFO] Paramount Iteration,6,2,0.118896,0.000360
[PI-INFO] Paramount Iteration,4,2,0.118217,0.000333
[PI-INFO] Paramount Iteration,5,2,0.117894,0.000434
[PI-INFO] Paramount Iteration,14,2,0.117868,0.000289
[PI-INFO] Paramount Iteration,2,2,0.118327,0.000386
[PI-INFO] Paramount Iteration,1,2,0.118095,0.000441
[PI-INFO] Paramount Iteration,13,2,0.118308,0.000501
[PI-INFO] Paramount Iteration,12,2,0.117540,0.000395
[PI-INFO] Paramount Iteration,0,2,0.126295,0.000715
[PI-INFO] Paramount Iteration,3,2,0.118162,0.000480
[PI-INFO] Paramount Iteration,8,3,0.118536,0.000340
[PI-INFO] Paramount Iteration,9,3,0.118721,0.000277
[PI-INFO] Paramount Iteration,15,3,0.120362,0.000259
[PI-INFO] Paramount Iteration,7,3,0.118199,0.000347
[PI-INFO] Paramount Iteration,11,3,0.118154,0.000370
[PI-INFO] Paramount Iteration,6,3,0.119291,0.000395
[PI-INFO] Paramount Iteration,10,3,0.118299,0.000451
[PI-INFO] Paramount Iteration,5,3,0.118217,0.000323
[PI-INFO] Paramount Iteration,0,3,0.126574,0.000279
[PI-INFO] Paramount Iteration,3,3,0.118495,0.000333
[PI-INFO] Paramount Iteration,2,3,0.118747,0.000420
[PI-INFO] Paramount Iteration,8,4,0.118855,0.000319
[PI-INFO] Paramount Iteration,13,3,0.118678,0.000370
[PI-INFO] Paramount Iteration,12,3,0.118001,0.000461
[PI-INFO] Paramount Iteration,14,3,0.118457,0.000589
[PI-INFO] Paramount Iteration,1,3,0.118572,0.000477
[PI-INFO] Paramount Iteration,4,3,0.118844,0.000627
[PI-INFO] Paramount Iteration,6,4,0.119586,0.000295
[PI-INFO] Paramount Iteration,10,4,0.118621,0.000322
[PI-INFO] Paramount Iteration,9,4,0.119210,0.000489
[PI-INFO] Paramount Iteration,7,4,0.118691,0.000492
