--------------------------------------------------------------------------
[[13589,1],2]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-12-248

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
[PI-INFO] Init time,0,0.141549
[PI-INFO] Init time,24,0.153585
[PI-INFO] Init time,25,0.153654
[PI-INFO] Init time,23,0.154340
[PI-INFO] Init time,15,0.154397
[PI-INFO] Init time,11,0.154507
[PI-INFO] Init time,9,0.155867
[PI-INFO] Init time,10,0.154678
[PI-INFO] Init time,5,0.154451
[PI-INFO] Init time,18,0.154254
[PI-INFO] Init time,7,0.154648
[PI-INFO] Init time,16,0.154452
[PI-INFO] Init time,29,0.154689
[PI-INFO] Init time,22,0.154334
[PI-INFO] Init time,14,0.154415
[PI-INFO] Init time,13,0.154383
[PI-INFO] Init time,26,0.154451
[PI-INFO] Init time,31,0.153973
[PI-INFO] Init time,19,0.153900
[PI-INFO] Init time,21,0.154356
[PI-INFO] Init time,17,0.154529
[PI-INFO] Init time,28,0.154451
[PI-INFO] Init time,20,0.154460
[PI-INFO] Init time,3,0.153826
[PI-INFO] Init time,6,0.154347
[PI-INFO] Init time,27,0.154249
[PI-INFO] Init time,2,0.154800
[PI-INFO] Init time,1,0.154772
[PI-INFO] Init time,4,0.154121
[PI-INFO] Init time,8,0.154135
[PI-INFO] Init time,30,0.156244
[PI-INFO] Init time,12,0.156147
[PI-INFO] Paramount Iteration,0,1,0.332923,0.191375
[PI-INFO] Paramount Iteration,1,1,0.438148,0.283376
[PI-INFO] Paramount Iteration,2,1,0.529086,0.374286
[PI-INFO] Paramount Iteration,0,2,0.520011,0.187088
[PI-INFO] Paramount Iteration,3,1,0.620118,0.466292
[PI-INFO] Paramount Iteration,1,2,0.624494,0.186346
[PI-INFO] Paramount Iteration,4,1,0.711617,0.557496
[PI-INFO] Paramount Iteration,2,2,0.713843,0.184757
[PI-INFO] Paramount Iteration,0,3,0.702765,0.182754
[PI-INFO] Paramount Iteration,5,1,0.802628,0.648177
[PI-INFO] Paramount Iteration,3,2,0.804615,0.184497
[PI-INFO] Paramount Iteration,1,3,0.805761,0.181267
[PI-INFO] Paramount Iteration,6,1,0.892507,0.738160
[PI-INFO] Paramount Iteration,7,1,0.893598,0.738950
[PI-INFO] Paramount Iteration,8,1,0.893113,0.738978
[PI-INFO] Paramount Iteration,9,1,0.894959,0.739092
[PI-INFO] Paramount Iteration,10,1,0.893905,0.739228
[PI-INFO] Paramount Iteration,11,1,0.893830,0.739323
[PI-INFO] Paramount Iteration,12,1,0.893971,0.737824
[PI-INFO] Paramount Iteration,13,1,0.893935,0.739553
[PI-INFO] Paramount Iteration,14,1,0.894072,0.739658
[PI-INFO] Paramount Iteration,15,1,0.894904,0.740507
[PI-INFO] Paramount Iteration,16,1,0.895050,0.740599
[PI-INFO] Paramount Iteration,17,1,0.895173,0.740644
[PI-INFO] Paramount Iteration,18,1,0.894974,0.740720
[PI-INFO] Paramount Iteration,4,2,0.894858,0.183241
[PI-INFO] Paramount Iteration,19,1,0.894669,0.740769
[PI-INFO] Paramount Iteration,20,1,0.895350,0.740891
[PI-INFO] Paramount Iteration,2,3,0.895659,0.181816
[PI-INFO] Paramount Iteration,21,1,0.895392,0.741036
[PI-INFO] Paramount Iteration,22,1,0.895497,0.741163
[PI-INFO] Paramount Iteration,23,1,0.896319,0.741979
[PI-INFO] Paramount Iteration,24,1,0.895685,0.742100
[PI-INFO] Paramount Iteration,25,1,0.895772,0.742119
[PI-INFO] Paramount Iteration,26,1,0.896654,0.742204
[PI-INFO] Paramount Iteration,27,1,0.896534,0.742285
[PI-INFO] Paramount Iteration,28,1,0.896724,0.742273
[PI-INFO] Paramount Iteration,29,1,0.897122,0.742433
[PI-INFO] Paramount Iteration,30,1,0.897176,0.740933
[PI-INFO] Paramount Iteration,31,1,0.896506,0.742533
[PI-INFO] Paramount Iteration,0,4,0.885478,0.182713
[PI-INFO] Paramount Iteration,5,2,0.985154,0.182526
[PI-INFO] Paramount Iteration,3,3,0.984694,0.180079
[PI-INFO] Paramount Iteration,1,4,0.987888,0.182127
[PI-INFO] Paramount Iteration,6,2,1.074468,0.181961
[PI-INFO] Paramount Iteration,7,2,1.074842,0.181244
[PI-INFO] Paramount Iteration,4,3,1.074399,0.179541
[PI-INFO] Paramount Iteration,2,4,1.075972,0.180313
[PI-INFO] Paramount Iteration,8,2,1.078170,0.185057
[PI-INFO] Paramount Iteration,0,5,1.068453,0.182975
[PI-INFO] Paramount Iteration,5,3,1.162843,0.177689
[PI-INFO] Paramount Iteration,3,4,1.164735,0.180041
[PI-INFO] Paramount Iteration,9,2,1.168316,0.273357
[PI-INFO] Paramount Iteration,1,5,1.171032,0.183144
[PI-INFO] Paramount Iteration,6,3,1.250784,0.176316
[PI-INFO] Paramount Iteration,7,3,1.251160,0.176318
[PI-INFO] Paramount Iteration,4,4,1.252946,0.178547
[PI-INFO] Paramount Iteration,10,2,1.255617,0.361712
[PI-INFO] Paramount Iteration,2,5,1.259038,0.183066
[PI-INFO] Paramount Iteration,8,3,1.258703,0.180533
[PI-INFO] Paramount Iteration,0,6,1.251157,0.182704
[PI-INFO] Paramount Iteration,5,4,1.341313,0.178470
[PI-INFO] Paramount Iteration,11,2,1.343996,0.450166
[PI-INFO] Paramount Iteration,9,3,1.346914,0.178598
[PI-INFO] Paramount Iteration,3,5,1.347845,0.183110
