--------------------------------------------------------------------------
[[19255,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-6-43

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
[PI-INFO] Init time,0,0.151343
[PI-INFO] Init time,12,0.141898
[PI-INFO] Init time,13,0.142805
[PI-INFO] Init time,8,0.142451
[PI-INFO] Init time,14,0.142528
[PI-INFO] Init time,4,0.141981
[PI-INFO] Init time,6,0.142107
[PI-INFO] Init time,3,0.143161
[PI-INFO] Init time,1,0.142912
[PI-INFO] Init time,2,0.143215
[PI-INFO] Init time,5,0.143197
[PI-INFO] Init time,10,0.142322
[PI-INFO] Init time,11,0.142112
[PI-INFO] Init time,9,0.142608
[PI-INFO] Init time,15,0.142438
[PI-INFO] Init time,7,0.143868
[PI-INFO] Paramount Iteration,0,1,0.356119,0.204776
[PI-INFO] Paramount Iteration,1,1,0.444457,0.301545
[PI-INFO] Paramount Iteration,2,1,0.543476,0.400261
[PI-INFO] Paramount Iteration,3,1,0.544209,0.401048
[PI-INFO] Paramount Iteration,4,1,0.543288,0.401308
[PI-INFO] Paramount Iteration,5,1,0.544542,0.401345
[PI-INFO] Paramount Iteration,6,1,0.543541,0.401434
[PI-INFO] Paramount Iteration,7,1,0.544355,0.400487
[PI-INFO] Paramount Iteration,8,1,0.544844,0.402393
[PI-INFO] Paramount Iteration,9,1,0.545037,0.402430
[PI-INFO] Paramount Iteration,10,1,0.544830,0.402508
[PI-INFO] Paramount Iteration,11,1,0.545327,0.403216
[PI-INFO] Paramount Iteration,12,1,0.545432,0.403534
[PI-INFO] Paramount Iteration,13,1,0.546362,0.403558
[PI-INFO] Paramount Iteration,14,1,0.546171,0.403643
[PI-INFO] Paramount Iteration,15,1,0.546052,0.403614
[PI-INFO] Paramount Iteration,0,2,0.558949,0.202830
[PI-INFO] Paramount Iteration,1,2,0.646276,0.201819
[PI-INFO] Paramount Iteration,2,2,0.744188,0.200712
[PI-INFO] Paramount Iteration,3,2,0.744193,0.199984
[PI-INFO] Paramount Iteration,4,2,0.743274,0.199986
[PI-INFO] Paramount Iteration,0,3,0.756728,0.197779
[PI-INFO] Paramount Iteration,5,2,0.837893,0.293351
[PI-INFO] Paramount Iteration,1,3,0.842456,0.196180
[PI-INFO] Paramount Iteration,6,2,0.931948,0.388407
[PI-INFO] Paramount Iteration,7,2,0.932034,0.387679
[PI-INFO] Paramount Iteration,8,2,0.932529,0.387685
[PI-INFO] Paramount Iteration,9,2,0.932719,0.387682
[PI-INFO] Paramount Iteration,10,2,0.932538,0.387708
[PI-INFO] Paramount Iteration,11,2,0.932337,0.387010
[PI-INFO] Paramount Iteration,12,2,0.932457,0.387025
[PI-INFO] Paramount Iteration,13,2,0.933375,0.387013
[PI-INFO] Paramount Iteration,14,2,0.934739,0.388568
[PI-INFO] Paramount Iteration,15,2,0.934640,0.388588
[PI-INFO] Paramount Iteration,2,3,0.938842,0.194654
[PI-INFO] Paramount Iteration,3,3,0.938865,0.194672
[PI-INFO] Paramount Iteration,4,3,0.937953,0.194679
[PI-INFO] Paramount Iteration,0,4,0.954380,0.197652
[PI-INFO] Paramount Iteration,5,3,1.032722,0.194829
[PI-INFO] Paramount Iteration,1,4,1.040099,0.197643
[PI-INFO] Paramount Iteration,6,3,1.124662,0.192714
[PI-INFO] Paramount Iteration,7,3,1.124752,0.192718
[PI-INFO] Paramount Iteration,8,3,1.126346,0.193817
[PI-INFO] Paramount Iteration,2,4,1.136345,0.197503
[PI-INFO] Paramount Iteration,3,4,1.136359,0.197494
[PI-INFO] Paramount Iteration,4,4,1.135432,0.197479
[PI-INFO] Paramount Iteration,0,5,1.155287,0.200907
[PI-INFO] Paramount Iteration,9,3,1.220068,0.287349
[PI-INFO] Paramount Iteration,5,4,1.226759,0.194037
[PI-INFO] Paramount Iteration,1,5,1.241549,0.201450
[PI-INFO] Paramount Iteration,10,3,1.313055,0.380517
[PI-INFO] Paramount Iteration,11,3,1.312865,0.380528
[PI-INFO] Paramount Iteration,12,3,1.312978,0.380521
[PI-INFO] Paramount Iteration,13,3,1.313899,0.380524
[PI-INFO] Paramount Iteration,6,4,1.319147,0.194485
[PI-INFO] Paramount Iteration,7,4,1.319234,0.194482
[PI-INFO] Paramount Iteration,8,4,1.319733,0.193387
[PI-INFO] Paramount Iteration,14,3,1.327359,0.392620
[PI-INFO] Paramount Iteration,15,3,1.327250,0.392610
[PI-INFO] Paramount Iteration,2,5,1.338286,0.201941
[PI-INFO] Paramount Iteration,3,5,1.338311,0.201952
[PI-INFO] Paramount Iteration,4,5,1.337395,0.201963
[PI-INFO] Paramount Iteration,0,6,1.355658,0.200371
[PI-INFO] Paramount Iteration,9,4,1.412667,0.192599
[PI-INFO] Paramount Iteration,5,5,1.425623,0.198864
[PI-INFO] Paramount Iteration,1,6,1.441821,0.200272
[PI-INFO] Paramount Iteration,10,4,1.505594,0.192539
[PI-INFO] Paramount Iteration,11,4,1.505391,0.192526
[PI-INFO] Paramount Iteration,12,4,1.508864,0.195886
[PI-INFO] Paramount Iteration,6,5,1.518114,0.198967
[PI-INFO] Paramount Iteration,7,5,1.518211,0.198977
[PI-INFO] Paramount Iteration,8,5,1.518692,0.198959
[PI-INFO] Paramount Iteration,2,6,1.538495,0.200209
[PI-INFO] Paramount Iteration,3,6,1.538513,0.200202
[PI-INFO] Paramount Iteration,4,6,1.537598,0.200203
[PI-INFO] Paramount Iteration,0,7,1.556994,0.201336
[PI-INFO] Paramount Iteration,13,4,1.602989,0.289090
[PI-INFO] Paramount Iteration,9,5,1.606431,0.193764
[PI-INFO] Paramount Iteration,5,6,1.626082,0.200459
[PI-INFO] Paramount Iteration,1,7,1.643161,0.201340
[PI-INFO] Paramount Iteration,14,4,1.696170,0.368811
[PI-INFO] Paramount Iteration,15,4,1.696045,0.368795
[PI-INFO] Paramount Iteration,10,5,1.699333,0.193739
[PI-INFO] Paramount Iteration,11,5,1.699124,0.193733
[PI-INFO] Paramount Iteration,12,5,1.702640,0.193776
[PI-INFO] Paramount Iteration,6,6,1.718743,0.200629
[PI-INFO] Paramount Iteration,7,6,1.718839,0.200628
[PI-INFO] Paramount Iteration,8,6,1.719330,0.200638
[PI-INFO] Paramount Iteration,2,7,1.739940,0.201445
[PI-INFO] Paramount Iteration,3,7,1.739962,0.201449
[PI-INFO] Paramount Iteration,4,7,1.739049,0.201451
[PI-INFO] Paramount Iteration,0,8,1.756614,0.199620
[PI-INFO] Paramount Iteration,13,5,1.796586,0.193597
[PI-INFO] Paramount Iteration,9,6,1.804679,0.198248
[PI-INFO] Paramount Iteration,5,7,1.826461,0.200379
[PI-INFO] Paramount Iteration,1,8,1.842683,0.199522
[PI-INFO] Paramount Iteration,14,5,1.889695,0.193525
[PI-INFO] Paramount Iteration,15,5,1.889568,0.193523
[PI-INFO] Paramount Iteration,10,6,1.897485,0.198152
[PI-INFO] Paramount Iteration,11,6,1.897285,0.198161
[PI-INFO] Paramount Iteration,12,6,1.897398,0.194758
[PI-INFO] Paramount Iteration,6,7,1.918803,0.200060
[PI-INFO] Paramount Iteration,7,7,1.918894,0.200055
[PI-INFO] Paramount Iteration,8,7,1.919391,0.200061
[PI-INFO] Paramount Iteration,2,8,1.939158,0.199218
[PI-INFO] Paramount Iteration,3,8,1.939177,0.199215
[PI-INFO] Paramount Iteration,4,8,1.938260,0.199211
[PI-INFO] Paramount Iteration,0,9,1.954430,0.197816
[PI-INFO] Paramount Iteration,13,6,1.990560,0.193974
[PI-INFO] Paramount Iteration,9,7,2.005196,0.200517
