--------------------------------------------------------------------------
[[52766,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-10-74

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
# MPI Nearest Neighbor Communication
# Info:
# Processor Grid:              16 x       1 x       1
# Data Grid (per rank):       100 x     100 x     100
# Iterations:             10000000
# Variables:                    1
# Sleep:                     1000
[PI-INFO] Init time,5,0.117781
[PI-INFO] Init time,11,0.117399
[PI-INFO] Init time,14,0.118239
[PI-INFO] Init time,15,0.117281
[PI-INFO] Init time,0,0.126157
[PI-INFO] Init time,3,0.117547
[PI-INFO] Init time,2,0.117351
[PI-INFO] Init time,1,0.117297
[PI-INFO] Init time,8,0.117665
[PI-INFO] Init time,4,0.118321
[PI-INFO] Init time,12,0.117476
[PI-INFO] Init time,10,0.117401
[PI-INFO] Init time,7,0.117266
[PI-INFO] Init time,6,0.117295
[PI-INFO] Init time,13,0.117880
[PI-INFO] Init time,9,0.117331
[PI-INFO] Paramount Iteration,15,1,0.117850,0.000569
[PI-INFO] Paramount Iteration,0,1,0.126786,0.000630
[PI-INFO] Paramount Iteration,12,1,0.118257,0.000781
[PI-INFO] Paramount Iteration,5,1,0.118608,0.000827
[PI-INFO] Paramount Iteration,13,1,0.118689,0.000809
[PI-INFO] Paramount Iteration,3,1,0.118392,0.000845
[PI-INFO] Paramount Iteration,11,1,0.118227,0.000828
[PI-INFO] Paramount Iteration,6,1,0.118132,0.000837
[PI-INFO] Paramount Iteration,14,1,0.119057,0.000818
[PI-INFO] Paramount Iteration,4,1,0.119178,0.000857
[PI-INFO] Paramount Iteration,2,1,0.118261,0.000910
[PI-INFO] Paramount Iteration,1,1,0.118184,0.000888
[PI-INFO] Paramount Iteration,8,1,0.118521,0.000856
[PI-INFO] Paramount Iteration,10,1,0.118348,0.000947
[PI-INFO] Paramount Iteration,7,1,0.118210,0.000944
[PI-INFO] Paramount Iteration,9,1,0.118255,0.000924
[PI-INFO] Paramount Iteration,5,2,0.118968,0.000360
[PI-INFO] Paramount Iteration,13,2,0.119010,0.000321
[PI-INFO] Paramount Iteration,4,2,0.119496,0.000318
[PI-INFO] Paramount Iteration,12,2,0.118561,0.000304
[PI-INFO] Paramount Iteration,14,2,0.119357,0.000300
[PI-INFO] Paramount Iteration,15,2,0.118500,0.000650
[PI-INFO] Paramount Iteration,3,2,0.118808,0.000416
[PI-INFO] Paramount Iteration,2,2,0.118598,0.000337
[PI-INFO] Paramount Iteration,10,2,0.118695,0.000347
[PI-INFO] Paramount Iteration,7,2,0.118545,0.000335
[PI-INFO] Paramount Iteration,0,2,0.127427,0.000641
[PI-INFO] Paramount Iteration,1,2,0.118586,0.000402
[PI-INFO] Paramount Iteration,8,2,0.118969,0.000448
[PI-INFO] Paramount Iteration,11,2,0.118755,0.000528
[PI-INFO] Paramount Iteration,6,2,0.118618,0.000486
[PI-INFO] Paramount Iteration,9,2,0.118662,0.000407
[PI-INFO] Paramount Iteration,14,3,0.119710,0.000353
[PI-INFO] Paramount Iteration,13,3,0.119304,0.000294
[PI-INFO] Paramount Iteration,15,3,0.118741,0.000241
[PI-INFO] Paramount Iteration,3,3,0.119109,0.000301
[PI-INFO] Paramount Iteration,4,3,0.119866,0.000370
[PI-INFO] Paramount Iteration,2,3,0.118944,0.000346
[PI-INFO] Paramount Iteration,11,3,0.119039,0.000284
[PI-INFO] Paramount Iteration,0,3,0.127800,0.000373
[PI-INFO] Paramount Iteration,8,3,0.119327,0.000358
[PI-INFO] Paramount Iteration,12,3,0.119189,0.000628
[PI-INFO] Paramount Iteration,6,3,0.119001,0.000383
[PI-INFO] Paramount Iteration,1,3,0.119058,0.000472
[PI-INFO] Paramount Iteration,10,3,0.119092,0.000397
[PI-INFO] Paramount Iteration,5,3,0.119545,0.000577
[PI-INFO] Paramount Iteration,7,3,0.119038,0.000493
[PI-INFO] Paramount Iteration,14,4,0.119994,0.000284
[PI-INFO] Paramount Iteration,15,4,0.119059,0.000318
[PI-INFO] Paramount Iteration,9,3,0.119048,0.000386
[PI-INFO] Paramount Iteration,3,4,0.119439,0.000330
[PI-INFO] Paramount Iteration,10,4,0.119419,0.000327
[PI-INFO] Paramount Iteration,5,4,0.119843,0.000298
[PI-INFO] Paramount Iteration,11,4,0.119483,0.000444
[PI-INFO] Paramount Iteration,12,4,0.119458,0.000269
[PI-INFO] Paramount Iteration,15,5,0.119332,0.000273
[PI-INFO] Paramount Iteration,0,4,0.128204,0.000404
[PI-INFO] Paramount Iteration,1,4,0.119370,0.000312
[PI-INFO] Paramount Iteration,4,4,0.120447,0.000581
[PI-INFO] Paramount Iteration,8,4,0.119790,0.000463
[PI-INFO] Paramount Iteration,7,4,0.119417,0.000379
[PI-INFO] Paramount Iteration,6,4,0.119487,0.000486
[PI-INFO] Paramount Iteration,13,4,0.120074,0.000770
[PI-INFO] Paramount Iteration,9,4,0.119463,0.000415
[PI-INFO] Paramount Iteration,2,4,0.119550,0.000606
[PI-INFO] Paramount Iteration,11,5,0.119737,0.000254
[PI-INFO] Paramount Iteration,0,5,0.128471,0.000267
[PI-INFO] Paramount Iteration,10,5,0.119878,0.000459
[PI-INFO] Paramount Iteration,8,5,0.120083,0.000293
[PI-INFO] Paramount Iteration,4,5,0.120714,0.000267
[PI-INFO] Paramount Iteration,9,5,0.119835,0.000372
[PI-INFO] Paramount Iteration,2,5,0.119856,0.000306
[PI-INFO] Paramount Iteration,14,5,0.120778,0.000784
[PI-INFO] Paramount Iteration,13,5,0.120421,0.000347
[PI-INFO] Paramount Iteration,5,5,0.120384,0.000541
[PI-INFO] Paramount Iteration,7,5,0.119828,0.000411
[PI-INFO] Paramount Iteration,6,5,0.119840,0.000353
[PI-INFO] Paramount Iteration,3,5,0.120168,0.000729
[PI-INFO] Paramount Iteration,1,5,0.119883,0.000513
[PI-INFO] Paramount Iteration,12,5,0.120074,0.000616
[PI-INFO] Paramount Iteration,10,6,0.120259,0.000381
[PI-INFO] Paramount Iteration,14,6,0.121064,0.000286
[PI-INFO] Paramount Iteration,5,6,0.120689,0.000305
[PI-INFO] Paramount Iteration,7,6,0.120138,0.000310
[PI-INFO] Paramount Iteration,9,6,0.120216,0.000381
[PI-INFO] Paramount Iteration,4,6,0.121242,0.000528
[PI-INFO] Paramount Iteration,12,6,0.120378,0.000304
[PI-INFO] Paramount Iteration,15,6,0.120221,0.000889
[PI-INFO] Paramount Iteration,0,6,0.129080,0.000609
[PI-INFO] Paramount Iteration,3,6,0.120530,0.000362
[PI-INFO] Paramount Iteration,1,6,0.120222,0.000339
[PI-INFO] Paramount Iteration,8,6,0.120584,0.000501
[PI-INFO] Paramount Iteration,6,6,0.120241,0.000401
[PI-INFO] Paramount Iteration,13,6,0.120876,0.000455
[PI-INFO] Paramount Iteration,11,6,0.120447,0.000710
[PI-INFO] Paramount Iteration,2,6,0.120435,0.000579
[PI-INFO] Paramount Iteration,6,7,0.120493,0.000252
[PI-INFO] Paramount Iteration,5,7,0.121059,0.000370
[PI-INFO] Paramount Iteration,15,7,0.120444,0.000223
[PI-INFO] Paramount Iteration,0,7,0.129370,0.000290
[PI-INFO] Paramount Iteration,8,7,0.120929,0.000345
[PI-INFO] Paramount Iteration,4,7,0.121572,0.000330
[PI-INFO] Paramount Iteration,13,7,0.121183,0.000307
[PI-INFO] Paramount Iteration,11,7,0.120788,0.000341
[PI-INFO] Paramount Iteration,7,7,0.120572,0.000434
[PI-INFO] Paramount Iteration,14,7,0.121617,0.000553
[PI-INFO] Paramount Iteration,9,7,0.120636,0.000420
[PI-INFO] Paramount Iteration,2,7,0.120728,0.000293
[PI-INFO] Paramount Iteration,10,7,0.120827,0.000568
[PI-INFO] Paramount Iteration,3,7,0.121020,0.000490
[PI-INFO] Paramount Iteration,1,7,0.120758,0.000536
[PI-INFO] Paramount Iteration,12,7,0.120927,0.000549
[PI-INFO] Paramount Iteration,5,8,0.121351,0.000292
[PI-INFO] Paramount Iteration,6,8,0.120917,0.000424
[PI-INFO] Paramount Iteration,8,8,0.121252,0.000323
[PI-INFO] Paramount Iteration,7,8,0.120910,0.000338
[PI-INFO] Paramount Iteration,14,8,0.121923,0.000306
[PI-INFO] Paramount Iteration,15,8,0.121051,0.000607
[PI-INFO] Paramount Iteration,3,8,0.121288,0.000268
[PI-INFO] Paramount Iteration,11,8,0.121184,0.000396
[PI-INFO] Paramount Iteration,2,8,0.121134,0.000406
[PI-INFO] Paramount Iteration,1,8,0.121075,0.000317
[PI-INFO] Paramount Iteration,4,8,0.122102,0.000530
[PI-INFO] Paramount Iteration,12,8,0.121224,0.000297
[PI-INFO] Paramount Iteration,10,8,0.121190,0.000363
[PI-INFO] Paramount Iteration,13,8,0.121693,0.000510
[PI-INFO] Paramount Iteration,9,8,0.121108,0.000472
[PI-INFO] Paramount Iteration,0,8,0.129925,0.000555
[PI-INFO] Paramount Iteration,6,9,0.121252,0.000335
[PI-INFO] Paramount Iteration,7,9,0.121235,0.000325
[PI-INFO] Paramount Iteration,15,9,0.121298,0.000247
[PI-INFO] Paramount Iteration,12,9,0.121559,0.000335
[PI-INFO] Paramount Iteration,10,9,0.121499,0.000309
[PI-INFO] Paramount Iteration,11,9,0.121471,0.000287
[PI-INFO] Paramount Iteration,13,9,0.121971,0.000278
[PI-INFO] Paramount Iteration,0,9,0.130223,0.000298
[PI-INFO] Paramount Iteration,3,9,0.121668,0.000380
[PI-INFO] Paramount Iteration,2,9,0.121446,0.000312
[PI-INFO] Paramount Iteration,4,9,0.122413,0.000311
[PI-INFO] Paramount Iteration,5,9,0.121978,0.000627
[PI-INFO] Paramount Iteration,14,9,0.122431,0.000508
[PI-INFO] Paramount Iteration,9,9,0.121467,0.000359
[PI-INFO] Paramount Iteration,1,9,0.121454,0.000379
[PI-INFO] Paramount Iteration,8,9,0.121861,0.000609
[PI-INFO] Paramount Iteration,11,10,0.121811,0.000340
[PI-INFO] Paramount Iteration,3,10,0.121971,0.000303
[PI-INFO] Paramount Iteration,12,10,0.121864,0.000305
[PI-INFO] Paramount Iteration,10,10,0.121844,0.000345
[PI-INFO] Paramount Iteration,13,10,0.122319,0.000348
[PI-INFO] Paramount Iteration,0,10,0.130553,0.000330
[PI-INFO] Paramount Iteration,4,10,0.122724,0.000311
[PI-INFO] Paramount Iteration,5,10,0.122273,0.000295
[PI-INFO] Paramount Iteration,14,10,0.122708,0.000277
[PI-INFO] Paramount Iteration,2,10,0.121851,0.000405
[PI-INFO] Paramount Iteration,1,10,0.121781,0.000327
[PI-INFO] Paramount Iteration,15,10,0.121857,0.000559
[PI-INFO] Paramount Iteration,6,10,0.121847,0.000595
[PI-INFO] Paramount Iteration,9,10,0.121898,0.000431
[PI-INFO] Paramount Iteration,8,10,0.122222,0.000361
[PI-INFO] Paramount Iteration,11,11,0.122126,0.000315
[PI-INFO] Paramount Iteration,7,10,0.121988,0.000753
[PI-INFO] Paramount Iteration,0,11,0.130856,0.000303
[PI-INFO] Paramount Iteration,13,11,0.122627,0.000308
[PI-INFO] Paramount Iteration,4,11,0.123039,0.000315
[PI-INFO] Paramount Iteration,12,11,0.122182,0.000318
[PI-INFO] Paramount Iteration,14,11,0.123060,0.000352
[PI-INFO] Paramount Iteration,15,11,0.122113,0.000256
[PI-INFO] Paramount Iteration,2,11,0.122147,0.000296
[PI-INFO] Paramount Iteration,1,11,0.122104,0.000323
[PI-INFO] Paramount Iteration,5,11,0.122662,0.000389
[PI-INFO] Paramount Iteration,3,11,0.122438,0.000467
[PI-INFO] Paramount Iteration,9,11,0.122214,0.000316
[PI-INFO] Paramount Iteration,8,11,0.122639,0.000417
[PI-INFO] Paramount Iteration,10,11,0.122397,0.000553
[PI-INFO] Paramount Iteration,12,12,0.122480,0.000298
[PI-INFO] Paramount Iteration,0,12,0.131173,0.000317
[PI-INFO] Paramount Iteration,13,12,0.122976,0.000349
[PI-INFO] Paramount Iteration,7,11,0.122338,0.000350
[PI-INFO] Paramount Iteration,15,12,0.122434,0.000321
[PI-INFO] Paramount Iteration,1,12,0.122416,0.000312
[PI-INFO] Paramount Iteration,6,11,0.122424,0.000577
[PI-INFO] Paramount Iteration,14,12,0.123390,0.000330
[PI-INFO] Paramount Iteration,3,12,0.122716,0.000278
[PI-INFO] Paramount Iteration,2,12,0.122506,0.000359
[PI-INFO] Paramount Iteration,10,12,0.122717,0.000320
[PI-INFO] Paramount Iteration,4,12,0.123583,0.000544
[PI-INFO] Paramount Iteration,11,12,0.122744,0.000618
[PI-INFO] Paramount Iteration,8,12,0.122960,0.000321
[PI-INFO] Paramount Iteration,0,13,0.131471,0.000298
[PI-INFO] Paramount Iteration,7,12,0.122706,0.000368
[PI-INFO] Paramount Iteration,6,12,0.122701,0.000277
[PI-INFO] Paramount Iteration,14,13,0.123674,0.000284
[PI-INFO] Paramount Iteration,13,13,0.123300,0.000324
[PI-INFO] Paramount Iteration,15,13,0.122713,0.000279
[PI-INFO] Paramount Iteration,2,13,0.122819,0.000313
[PI-INFO] Paramount Iteration,1,13,0.122762,0.000346
[PI-INFO] Paramount Iteration,5,12,0.123314,0.000652
[PI-INFO] Paramount Iteration,9,12,0.122800,0.000586
[PI-INFO] Paramount Iteration,3,13,0.123141,0.000425
[PI-INFO] Paramount Iteration,11,13,0.123018,0.000274
[PI-INFO] Paramount Iteration,14,14,0.123969,0.000295
[PI-INFO] Paramount Iteration,15,14,0.123032,0.000319
[PI-INFO] Paramount Iteration,0,14,0.131880,0.000409
[PI-INFO] Paramount Iteration,8,13,0.123388,0.000428
[PI-INFO] Paramount Iteration,12,13,0.123179,0.000699
[PI-INFO] Paramount Iteration,7,13,0.122996,0.000290
[PI-INFO] Paramount Iteration,6,13,0.123083,0.000382
[PI-INFO] Paramount Iteration,1,14,0.123114,0.000352
[PI-INFO] Paramount Iteration,4,13,0.124127,0.000544
[PI-INFO] Paramount Iteration,5,13,0.123643,0.000329
[PI-INFO] Paramount Iteration,9,13,0.123157,0.000357
[PI-INFO] Paramount Iteration,10,13,0.123307,0.000590
[PI-INFO] Paramount Iteration,2,14,0.123334,0.000515
[PI-INFO] Paramount Iteration,15,15,0.123275,0.000243
[PI-INFO] PI avg,15,0.000400,15
[PI-INFO] Beta,15,0.001352
[PI-INFO] Paramount Iteration,0,15,0.132187,0.000307
[PI-INFO] PI avg,0,0.000402,15
[PI-INFO] Beta,0,0.001660
[PI-INFO] Total time,0.132197
[PI-INFO] Paramount Iteration,12,14,0.123481,0.000302
[PI-INFO] Paramount Iteration,5,14,0.123922,0.000279
[PI-INFO] Paramount Iteration,7,14,0.123333,0.000337
[PI-INFO] Paramount Iteration,3,14,0.123750,0.000609
[PI-INFO] Paramount Iteration,8,14,0.123772,0.000384
[PI-INFO] Paramount Iteration,4,14,0.124410,0.000283
[PI-INFO] Paramount Iteration,6,14,0.123411,0.000328
[PI-INFO] Paramount Iteration,13,14,0.124056,0.000756
[PI-INFO] Paramount Iteration,9,14,0.123515,0.000358
[PI-INFO] Paramount Iteration,10,14,0.123628,0.000321
[PI-INFO] Paramount Iteration,11,14,0.123655,0.000637
[PI-INFO] Paramount Iteration,1,15,0.123611,0.000497
[PI-INFO] PI avg,1,0.000421,15
[PI-INFO] Beta,1,0.001435
[PI-INFO] Paramount Iteration,5,15,0.124212,0.000290
[PI-INFO] PI avg,5,0.000429,15
[PI-INFO] Beta,5,0.001409
[PI-INFO] Paramount Iteration,6,15,0.123675,0.000264
[PI-INFO] PI avg,6,0.000425,15
[PI-INFO] Beta,6,0.001084
[PI-INFO] Paramount Iteration,7,15,0.123718,0.000385
[PI-INFO] PI avg,7,0.000430,15
[PI-INFO] Beta,7,0.001552
[PI-INFO] Paramount Iteration,4,15,0.124761,0.000351
[PI-INFO] PI avg,4,0.000429,15
[PI-INFO] Beta,4,0.001222
[PI-INFO] Paramount Iteration,3,15,0.124043,0.000293
[PI-INFO] PI avg,3,0.000433,15
[PI-INFO] Beta,3,0.001211
[PI-INFO] Paramount Iteration,14,15,0.124775,0.000806
[PI-INFO] PI avg,14,0.000436,15
[PI-INFO] Beta,14,0.001386
[PI-INFO] Paramount Iteration,13,15,0.124383,0.000327
[PI-INFO] PI avg,13,0.000434,15
[PI-INFO] Beta,13,0.001247
[PI-INFO] Paramount Iteration,8,15,0.124139,0.000367
[PI-INFO] PI avg,8,0.000432,15
[PI-INFO] Beta,8,0.001105
[PI-INFO] Paramount Iteration,10,15,0.123983,0.000355
[PI-INFO] PI avg,10,0.000439,15
[PI-INFO] Beta,10,0.001376
[PI-INFO] Paramount Iteration,9,15,0.123852,0.000337
[PI-INFO] PI avg,9,0.000435,15
[PI-INFO] Beta,9,0.002303
[PI-INFO] Paramount Iteration,2,15,0.123923,0.000589
[PI-INFO] PI avg,2,0.000438,15
[PI-INFO] Beta,2,0.001379
[PI-INFO] Paramount Iteration,11,15,0.124006,0.000351
[PI-INFO] PI avg,11,0.000440,15
[PI-INFO] Beta,11,0.001046
[PI-INFO] Paramount Iteration,12,15,0.124129,0.000648
[PI-INFO] PI avg,12,0.000444,15
[PI-INFO] Beta,12,0.001362
--------------------------------------------------------------------------
mpirun has exited due to process rank 0 with PID 0 on
node ip-172-31-10-74 exiting improperly. There are three reasons this could occur:

1. this process did not call "init" before exiting, but others in
the job did. This can cause a job to hang indefinitely while it waits
for all processes to call "init". By rule, if one process calls "init",
then ALL processes must call "init" prior to termination.

2. this process called "init", but exited without calling "finalize".
By rule, all processes that call "init" MUST call "finalize" prior to
exiting or it will be considered an "abnormal termination"

3. this process called "MPI_Abort" or "orte_abort" and the mca parameter
orte_create_session_dirs is set to false. In this case, the run-time cannot
detect that the abort call was an abnormal termination. Hence, the only
error message you will receive is this one.

This may have caused other processes in the application to be
terminated by signals sent by mpirun (as reported here).

You can avoid this message by specifying -quiet on the mpirun command line.
--------------------------------------------------------------------------
[ip-172-31-10-74:17644] 15 more processes have sent help message help-mpi-btl-base.txt / btl:no-nics
[ip-172-31-10-74:17644] Set MCA parameter "orte_base_help_aggregate" to 0 to see all help / error messages
Command exited with non-zero status 1
	Command being timed: "mpirun --hostfile /home/ubuntu/PI-Bench/ECP-Proxy-Apps/hostfile -n 16 ./halo3d -nx 100 -ny 100 -nz 100 -iterations 10000000"
	User time (seconds): 0.04
	System time (seconds): 0.04
	Percent of CPU this job got: 2%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:02.84
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 19140
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 4
	Minor (reclaiming a frame) page faults: 5240
	Voluntary context switches: 960
	Involuntary context switches: 7
	Swaps: 0
	File system inputs: 0
	File system outputs: 16440
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 1
