--------------------------------------------------------------------------
[[44624,1],3]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-50-252

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
[PI-INFO] Init time,8,0.155551
[PI-INFO] Init time,6,0.156772
[PI-INFO] Init time,5,0.155478
[PI-INFO] Init time,15,0.155126
[PI-INFO] Init time,17,0.155123
[PI-INFO] Init time,9,0.155455
[PI-INFO] Init time,30,0.155565
[PI-INFO] Init time,21,0.155389
[PI-INFO] Init time,3,0.156030
[PI-INFO] Init time,2,0.155583
[PI-INFO] Init time,20,0.156716
[PI-INFO] Init time,7,0.154752
[PI-INFO] Init time,10,0.155177
[PI-INFO] Init time,14,0.155044
[PI-INFO] Init time,11,0.156018
[PI-INFO] Init time,28,0.155218
[PI-INFO] Init time,24,0.155192
[PI-INFO] Init time,31,0.155117
[PI-INFO] Init time,0,0.145049
[PI-INFO] Init time,4,0.155537
[PI-INFO] Init time,18,0.155377
[PI-INFO] Init time,19,0.154863
[PI-INFO] Init time,12,0.155482
[PI-INFO] Init time,22,0.155363
[PI-INFO] Init time,27,0.154769
[PI-INFO] Init time,16,0.155174
[PI-INFO] Init time,29,0.154816
[PI-INFO] Init time,23,0.155202
[PI-INFO] Init time,13,0.154664
[PI-INFO] Init time,25,0.155174
[PI-INFO] Init time,26,0.154890
[PI-INFO] Init time,1,0.157085
[PI-INFO] Paramount Iteration,0,1,0.351376,0.206327
[PI-INFO] Paramount Iteration,1,1,0.460248,0.303163
[PI-INFO] Paramount Iteration,2,1,0.559504,0.403921
[PI-INFO] Paramount Iteration,0,2,0.555332,0.203956
[PI-INFO] Paramount Iteration,3,1,0.659577,0.503547
[PI-INFO] Paramount Iteration,1,2,0.663069,0.202821
[PI-INFO] Paramount Iteration,4,1,0.757508,0.601971
[PI-INFO] Paramount Iteration,2,2,0.760619,0.201115
[PI-INFO] Paramount Iteration,0,3,0.757233,0.201901
