--------------------------------------------------------------------------
[[43803,1],1]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-9-179

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
[PI-INFO] Init time,24,0.159964
[PI-INFO] Init time,8,0.160318
[PI-INFO] Init time,14,0.160261
[PI-INFO] Init time,26,0.160052
[PI-INFO] Init time,23,0.160324
[PI-INFO] Init time,1,0.161196
[PI-INFO] Init time,11,0.160575
[PI-INFO] Init time,17,0.160382
[PI-INFO] Init time,15,0.160509
[PI-INFO] Init time,2,0.160603
[PI-INFO] Init time,18,0.160195
[PI-INFO] Init time,27,0.160066
[PI-INFO] Init time,13,0.160309
[PI-INFO] Init time,5,0.159965
[PI-INFO] Init time,25,0.160032
[PI-INFO] Init time,10,0.159810
[PI-INFO] Init time,16,0.159986
[PI-INFO] Init time,21,0.159652
[PI-INFO] Init time,30,0.160140
[PI-INFO] Init time,31,0.160622
[PI-INFO] Init time,22,0.159633
[PI-INFO] Init time,0,0.145912
[PI-INFO] Init time,9,0.160967
[PI-INFO] Init time,12,0.160989
[PI-INFO] Init time,6,0.160619
[PI-INFO] Init time,4,0.160033
[PI-INFO] Init time,7,0.160163
[PI-INFO] Init time,3,0.159844
[PI-INFO] Init time,20,0.159891
[PI-INFO] Init time,29,0.159944
[PI-INFO] Init time,19,0.159947
[PI-INFO] Init time,28,0.159910
[PI-INFO] Paramount Iteration,0,1,0.354348,0.208436
[PI-INFO] Paramount Iteration,1,1,0.466786,0.305590
[PI-INFO] Paramount Iteration,2,1,0.567950,0.407347
[PI-INFO] Paramount Iteration,0,2,0.561517,0.207169
[PI-INFO] Paramount Iteration,3,1,0.666851,0.507007
[PI-INFO] Paramount Iteration,1,2,0.672772,0.205986
[PI-INFO] Paramount Iteration,4,1,0.767581,0.607548
[PI-INFO] Paramount Iteration,2,2,0.773065,0.205115
[PI-INFO] Paramount Iteration,0,3,0.765150,0.203633
[PI-INFO] Paramount Iteration,5,1,0.868757,0.708792
[PI-INFO] Paramount Iteration,3,2,0.871170,0.204319
[PI-INFO] Paramount Iteration,1,3,0.874987,0.202215
[PI-INFO] Paramount Iteration,6,1,0.968528,0.807909
[PI-INFO] Paramount Iteration,7,1,0.968872,0.808709
[PI-INFO] Paramount Iteration,8,1,0.969530,0.809212
[PI-INFO] Paramount Iteration,9,1,0.969989,0.809022
[PI-INFO] Paramount Iteration,10,1,0.968994,0.809184
[PI-INFO] Paramount Iteration,11,1,0.970022,0.809447
[PI-INFO] Paramount Iteration,12,1,0.970262,0.809274
[PI-INFO] Paramount Iteration,13,1,0.969821,0.809513
[PI-INFO] Paramount Iteration,14,1,0.970105,0.809844
[PI-INFO] Paramount Iteration,15,1,0.971133,0.810624
[PI-INFO] Paramount Iteration,16,1,0.970524,0.810539
[PI-INFO] Paramount Iteration,17,1,0.971171,0.810790
[PI-INFO] Paramount Iteration,18,1,0.971118,0.810923
[PI-INFO] Paramount Iteration,4,2,0.970625,0.203044
[PI-INFO] Paramount Iteration,19,1,0.970671,0.810725
[PI-INFO] Paramount Iteration,20,1,0.970759,0.810868
[PI-INFO] Paramount Iteration,21,1,0.970704,0.811052
[PI-INFO] Paramount Iteration,22,1,0.970829,0.811196
[PI-INFO] Paramount Iteration,23,1,0.972594,0.812270
[PI-INFO] Paramount Iteration,24,1,0.972428,0.812464
[PI-INFO] Paramount Iteration,25,1,0.972259,0.812227
[PI-INFO] Paramount Iteration,26,1,0.972619,0.812567
[PI-INFO] Paramount Iteration,27,1,0.972672,0.812606
[PI-INFO] Paramount Iteration,2,3,0.973280,0.200215
[PI-INFO] Paramount Iteration,28,1,0.972328,0.812418
[PI-INFO] Paramount Iteration,29,1,0.972507,0.812563
[PI-INFO] Paramount Iteration,30,1,0.972832,0.812692
[PI-INFO] Paramount Iteration,31,1,0.973357,0.812736
[PI-INFO] Paramount Iteration,0,4,0.967579,0.202429
[PI-INFO] Paramount Iteration,5,2,1.071231,0.202474
[PI-INFO] Paramount Iteration,3,3,1.071278,0.200108
[PI-INFO] Paramount Iteration,1,4,1.077572,0.202585
[PI-INFO] Paramount Iteration,6,2,1.170630,0.202102
[PI-INFO] Paramount Iteration,7,2,1.170236,0.201364
[PI-INFO] Paramount Iteration,8,2,1.170840,0.201310
[PI-INFO] Paramount Iteration,4,3,1.170382,0.199757
[PI-INFO] Paramount Iteration,2,4,1.175766,0.202486
[PI-INFO] Paramount Iteration,0,5,1.171243,0.203664
[PI-INFO] Paramount Iteration,9,2,1.269885,0.299896
[PI-INFO] Paramount Iteration,5,3,1.269112,0.197881
[PI-INFO] Paramount Iteration,3,4,1.272459,0.201181
[PI-INFO] Paramount Iteration,1,5,1.280939,0.203367
[PI-INFO] Paramount Iteration,10,2,1.363736,0.394742
[PI-INFO] Paramount Iteration,6,3,1.366319,0.195689
[PI-INFO] Paramount Iteration,7,3,1.365915,0.195679
[PI-INFO] Paramount Iteration,8,3,1.367013,0.196173
[PI-INFO] Paramount Iteration,4,4,1.370160,0.199778
[PI-INFO] Paramount Iteration,2,5,1.379268,0.203502
[PI-INFO] Paramount Iteration,0,6,1.375685,0.204442
[PI-INFO] Paramount Iteration,11,2,1.463635,0.493613
[PI-INFO] Paramount Iteration,9,3,1.464586,0.194701
[PI-INFO] Paramount Iteration,5,4,1.468908,0.199796
[PI-INFO] Paramount Iteration,3,5,1.475918,0.203459
[PI-INFO] Paramount Iteration,1,6,1.485463,0.204524
[PI-INFO] Paramount Iteration,12,2,1.561087,0.590825
[PI-INFO] Paramount Iteration,10,3,1.560195,0.196459
[PI-INFO] Paramount Iteration,6,4,1.566388,0.200069
[PI-INFO] Paramount Iteration,7,4,1.565976,0.200061
[PI-INFO] Paramount Iteration,8,4,1.566578,0.199565
[PI-INFO] Paramount Iteration,4,5,1.573566,0.203406
[PI-INFO] Paramount Iteration,2,6,1.583685,0.204417
[PI-INFO] Paramount Iteration,0,7,1.578865,0.203180
[PI-INFO] Paramount Iteration,13,2,1.655498,0.685677
[PI-INFO] Paramount Iteration,11,3,1.658315,0.194680
[PI-INFO] Paramount Iteration,9,4,1.661318,0.196732
[PI-INFO] Paramount Iteration,5,5,1.672317,0.203409
[PI-INFO] Paramount Iteration,3,6,1.680347,0.204429
[PI-INFO] Paramount Iteration,1,7,1.688724,0.203261
[PI-INFO] Paramount Iteration,14,2,1.750514,0.780409
[PI-INFO] Paramount Iteration,15,2,1.750810,0.779677
[PI-INFO] Paramount Iteration,16,2,1.750201,0.779677
[PI-INFO] Paramount Iteration,17,2,1.750848,0.779677
[PI-INFO] Paramount Iteration,18,2,1.750798,0.779680
[PI-INFO] Paramount Iteration,19,2,1.750361,0.779690
[PI-INFO] Paramount Iteration,20,2,1.750440,0.779681
[PI-INFO] Paramount Iteration,21,2,1.750373,0.779669
[PI-INFO] Paramount Iteration,12,3,1.753684,0.192597
[PI-INFO] Paramount Iteration,10,4,1.752794,0.192599
[PI-INFO] Paramount Iteration,22,2,1.754546,0.783717
[PI-INFO] Paramount Iteration,23,2,1.755565,0.782971
[PI-INFO] Paramount Iteration,24,2,1.755399,0.782971
[PI-INFO] Paramount Iteration,25,2,1.755262,0.783003
[PI-INFO] Paramount Iteration,26,2,1.755628,0.783009
[PI-INFO] Paramount Iteration,27,2,1.755703,0.783031
[PI-INFO] Paramount Iteration,28,2,1.755349,0.783021
[PI-INFO] Paramount Iteration,29,2,1.755527,0.783020
[PI-INFO] Paramount Iteration,30,2,1.758410,0.785578
[PI-INFO] Paramount Iteration,31,2,1.758944,0.785587
[PI-INFO] Paramount Iteration,6,5,1.770026,0.203638
[PI-INFO] Paramount Iteration,7,5,1.769624,0.203648
[PI-INFO] Paramount Iteration,8,5,1.770235,0.203657
[PI-INFO] Paramount Iteration,4,6,1.778317,0.204751
[PI-INFO] Paramount Iteration,2,7,1.786977,0.203292
[PI-INFO] Paramount Iteration,0,8,1.782931,0.204066
[PI-INFO] Paramount Iteration,13,3,1.846017,0.190519
[PI-INFO] Paramount Iteration,11,4,1.850695,0.192380
[PI-INFO] Paramount Iteration,9,5,1.861086,0.199768
[PI-INFO] Paramount Iteration,5,6,1.877064,0.204747
[PI-INFO] Paramount Iteration,3,7,1.883311,0.202964
[PI-INFO] Paramount Iteration,1,8,1.892907,0.204183
[PI-INFO] Paramount Iteration,14,3,1.939110,0.188596
[PI-INFO] Paramount Iteration,15,3,1.939395,0.188585
[PI-INFO] Paramount Iteration,12,4,1.946197,0.192513
[PI-INFO] Paramount Iteration,16,3,1.947692,0.197491
[PI-INFO] Paramount Iteration,10,5,1.952736,0.199942
[PI-INFO] Paramount Iteration,6,6,1.974709,0.204683
[PI-INFO] Paramount Iteration,8,6,1.974916,0.204681
[PI-INFO] Paramount Iteration,7,6,1.974302,0.204678
[PI-INFO] Paramount Iteration,4,7,1.980968,0.202651
[PI-INFO] Paramount Iteration,2,8,1.991231,0.204254
[PI-INFO] Paramount Iteration,0,9,1.987519,0.204588
[PI-INFO] Paramount Iteration,13,4,2.038521,0.192504
[PI-INFO] Paramount Iteration,17,3,2.041155,0.290307
[PI-INFO] Paramount Iteration,11,5,2.050879,0.200184
[PI-INFO] Paramount Iteration,9,6,2.064799,0.203713
[PI-INFO] Paramount Iteration,5,7,2.079754,0.202690
[PI-INFO] Paramount Iteration,3,8,2.087609,0.204298
[PI-INFO] Paramount Iteration,1,9,2.097381,0.204474
[PI-INFO] Paramount Iteration,14,4,2.131575,0.192465
[PI-INFO] Paramount Iteration,15,4,2.131849,0.192454
[PI-INFO] Paramount Iteration,18,3,2.138186,0.387388
[PI-INFO] Paramount Iteration,16,4,2.144134,0.196442
[PI-INFO] Paramount Iteration,12,5,2.146140,0.199943
[PI-INFO] Paramount Iteration,10,6,2.156628,0.203892
[PI-INFO] Paramount Iteration,6,7,2.177168,0.202459
[PI-INFO] Paramount Iteration,7,7,2.176763,0.202461
[PI-INFO] Paramount Iteration,8,7,2.177373,0.202457
