[ip-172-31-14-100:18668] plm:rsh: Warning: setpgid(18690,18690) failed in parent with errno=Permission denied(13)
--------------------------------------------------------------------------
[[41018,1],1]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-9-179

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
# MPI Nearest Neighbor Communication
# Info:
# Processor Grid:              32 x       1 x       1
# Data Grid (per rank):       100 x     100 x     100
# Iterations:             10000000
# Variables:                    1
# Sleep:                     1000
[PI-INFO] Init time,12,0.129163
[PI-INFO] Init time,9,0.129297
[PI-INFO] Init time,11,0.129346
[PI-INFO] Init time,23,0.129398
[PI-INFO] Init time,27,0.128900
[PI-INFO] Init time,29,0.128608
[PI-INFO] Init time,0,0.119108
[PI-INFO] Init time,1,0.129561
[PI-INFO] Init time,15,0.129515
[PI-INFO] Init time,8,0.128770
[PI-INFO] Init time,17,0.128674
[PI-INFO] Init time,13,0.129126
[PI-INFO] Init time,6,0.129289
[PI-INFO] Init time,14,0.129433
[PI-INFO] Init time,18,0.129251
[PI-INFO] Init time,4,0.128660
[PI-INFO] Init time,7,0.128662
[PI-INFO] Init time,2,0.129423
[PI-INFO] Init time,5,0.128587
[PI-INFO] Init time,16,0.128262
[PI-INFO] Init time,10,0.128570
[PI-INFO] Init time,3,0.128431
[PI-INFO] Init time,26,0.128335
[PI-INFO] Init time,24,0.128444
[PI-INFO] Init time,22,0.128447
[PI-INFO] Init time,19,0.128428
[PI-INFO] Init time,25,0.128723
[PI-INFO] Init time,30,0.128936
[PI-INFO] Init time,20,0.128525
[PI-INFO] Init time,31,0.128997
[PI-INFO] Init time,21,0.128398
[PI-INFO] Init time,28,0.128410
[PI-INFO] Paramount Iteration,31,1,0.129619,0.000622
[PI-INFO] Paramount Iteration,0,1,0.119729,0.000622
[PI-INFO] Paramount Iteration,12,1,0.130041,0.000878
[PI-INFO] Paramount Iteration,11,1,0.130298,0.000953
[PI-INFO] Paramount Iteration,30,1,0.129859,0.000923
[PI-INFO] Paramount Iteration,29,1,0.129529,0.000921
[PI-INFO] Paramount Iteration,1,1,0.130539,0.000979
[PI-INFO] Paramount Iteration,15,1,0.130471,0.000956
[PI-INFO] Paramount Iteration,8,1,0.129682,0.000913
[PI-INFO] Paramount Iteration,17,1,0.129589,0.000915
[PI-INFO] Paramount Iteration,13,1,0.130094,0.000968
[PI-INFO] Paramount Iteration,6,1,0.130214,0.000925
[PI-INFO] Paramount Iteration,14,1,0.130419,0.000986
[PI-INFO] Paramount Iteration,9,1,0.130290,0.000993
[PI-INFO] Paramount Iteration,23,1,0.130361,0.000963
[PI-INFO] Paramount Iteration,4,1,0.129574,0.000915
[PI-INFO] Paramount Iteration,7,1,0.129620,0.000958
[PI-INFO] Paramount Iteration,2,1,0.130400,0.000977
[PI-INFO] Paramount Iteration,5,1,0.129574,0.000987
[PI-INFO] Paramount Iteration,16,1,0.129153,0.000891
[PI-INFO] Paramount Iteration,27,1,0.129903,0.001003
[PI-INFO] Paramount Iteration,3,1,0.129316,0.000885
[PI-INFO] Paramount Iteration,26,1,0.129299,0.000964
[PI-INFO] Paramount Iteration,24,1,0.129384,0.000940
[PI-INFO] Paramount Iteration,22,1,0.129413,0.000966
[PI-INFO] Paramount Iteration,19,1,0.129434,0.001006
[PI-INFO] Paramount Iteration,25,1,0.129721,0.000998
[PI-INFO] Paramount Iteration,20,1,0.129490,0.000965
[PI-INFO] Paramount Iteration,21,1,0.129343,0.000945
[PI-INFO] Paramount Iteration,28,1,0.129377,0.000967
[PI-INFO] Paramount Iteration,0,2,0.120450,0.000721
[PI-INFO] Paramount Iteration,0,3,0.120743,0.000293
[PI-INFO] Paramount Iteration,1,2,0.130915,0.000376
[PI-INFO] Paramount Iteration,15,2,0.130789,0.000318
[PI-INFO] Paramount Iteration,8,2,0.130083,0.000401
[PI-INFO] Paramount Iteration,17,2,0.130133,0.000544
[PI-INFO] Paramount Iteration,12,2,0.130467,0.000426
[PI-INFO] Paramount Iteration,13,2,0.130474,0.000380
[PI-INFO] Paramount Iteration,6,2,0.130624,0.000410
[PI-INFO] Paramount Iteration,14,2,0.130760,0.000341
[PI-INFO] Paramount Iteration,9,2,0.130713,0.000423
[PI-INFO] Paramount Iteration,11,2,0.130843,0.000545
[PI-INFO] Paramount Iteration,23,2,0.130756,0.000395
[PI-INFO] Paramount Iteration,18,1,0.130261,0.001011
[PI-INFO] Paramount Iteration,4,2,0.130043,0.000469
[PI-INFO] Paramount Iteration,7,2,0.129976,0.000356
[PI-INFO] Paramount Iteration,2,2,0.130794,0.000394
[PI-INFO] Paramount Iteration,5,2,0.129930,0.000356
[PI-INFO] Paramount Iteration,16,2,0.129477,0.000324
[PI-INFO] Paramount Iteration,10,1,0.129575,0.001005
[PI-INFO] Paramount Iteration,27,2,0.130255,0.000352
[PI-INFO] Paramount Iteration,3,2,0.129768,0.000452
[PI-INFO] Paramount Iteration,26,2,0.129642,0.000343
[PI-INFO] Paramount Iteration,24,2,0.129883,0.000499
[PI-INFO] Paramount Iteration,22,2,0.129753,0.000340
[PI-INFO] Paramount Iteration,19,2,0.129833,0.000399
[PI-INFO] Paramount Iteration,25,2,0.130099,0.000378
[PI-INFO] Paramount Iteration,30,2,0.130156,0.000297
[PI-INFO] Paramount Iteration,20,2,0.129895,0.000405
[PI-INFO] Paramount Iteration,31,2,0.130326,0.000707
[PI-INFO] Paramount Iteration,21,2,0.129781,0.000438
[PI-INFO] Paramount Iteration,28,2,0.129758,0.000381
[PI-INFO] Paramount Iteration,29,2,0.130022,0.000493
[PI-INFO] Paramount Iteration,0,4,0.121194,0.000451
[PI-INFO] Paramount Iteration,0,5,0.121482,0.000288
[PI-INFO] Paramount Iteration,1,3,0.131458,0.000543
[PI-INFO] Paramount Iteration,15,3,0.131111,0.000322
[PI-INFO] Paramount Iteration,8,3,0.130425,0.000342
[PI-INFO] Paramount Iteration,17,3,0.130446,0.000313
[PI-INFO] Paramount Iteration,12,3,0.131048,0.000581
[PI-INFO] Paramount Iteration,13,3,0.130768,0.000294
[PI-INFO] Paramount Iteration,6,3,0.130982,0.000358
[PI-INFO] Paramount Iteration,14,3,0.131079,0.000319
[PI-INFO] Paramount Iteration,9,3,0.131038,0.000325
[PI-INFO] Paramount Iteration,11,3,0.131174,0.000331
[PI-INFO] Paramount Iteration,23,3,0.131332,0.000576
[PI-INFO] Paramount Iteration,18,2,0.130654,0.000393
[PI-INFO] Paramount Iteration,4,3,0.130404,0.000361
[PI-INFO] Paramount Iteration,7,3,0.130318,0.000342
[PI-INFO] Paramount Iteration,2,3,0.131197,0.000403
[PI-INFO] Paramount Iteration,5,3,0.130364,0.000434
[PI-INFO] Paramount Iteration,16,3,0.130078,0.000601
[PI-INFO] Paramount Iteration,10,2,0.129914,0.000339
[PI-INFO] Paramount Iteration,27,3,0.130615,0.000360
[PI-INFO] Paramount Iteration,3,3,0.130330,0.000562
[PI-INFO] Paramount Iteration,26,3,0.129984,0.000342
[PI-INFO] Paramount Iteration,24,3,0.130257,0.000374
[PI-INFO] Paramount Iteration,22,3,0.130104,0.000351
[PI-INFO] Paramount Iteration,19,3,0.130193,0.000360
[PI-INFO] Paramount Iteration,25,3,0.130536,0.000437
[PI-INFO] Paramount Iteration,30,3,0.130708,0.000552
[PI-INFO] Paramount Iteration,20,3,0.130330,0.000435
[PI-INFO] Paramount Iteration,31,3,0.130582,0.000256
[PI-INFO] Paramount Iteration,21,3,0.130182,0.000401
[PI-INFO] Paramount Iteration,28,3,0.130100,0.000342
[PI-INFO] Paramount Iteration,29,3,0.130370,0.000348
[PI-INFO] Paramount Iteration,1,4,0.131792,0.000334
[PI-INFO] Paramount Iteration,15,4,0.131718,0.000607
[PI-INFO] Paramount Iteration,8,4,0.130781,0.000356
[PI-INFO] Paramount Iteration,17,4,0.130861,0.000415
[PI-INFO] Paramount Iteration,12,4,0.131360,0.000312
[PI-INFO] Paramount Iteration,13,4,0.131402,0.000634
[PI-INFO] Paramount Iteration,6,4,0.131305,0.000323
[PI-INFO] Paramount Iteration,14,4,0.131363,0.000284
[PI-INFO] Paramount Iteration,9,4,0.131486,0.000448
[PI-INFO] Paramount Iteration,11,4,0.131596,0.000422
[PI-INFO] Paramount Iteration,23,4,0.131616,0.000284
[PI-INFO] Paramount Iteration,18,3,0.131001,0.000347
[PI-INFO] Paramount Iteration,4,4,0.130960,0.000556
[PI-INFO] Paramount Iteration,7,4,0.130674,0.000356
[PI-INFO] Paramount Iteration,2,4,0.131770,0.000573
[PI-INFO] Paramount Iteration,5,4,0.130669,0.000305
[PI-INFO] Paramount Iteration,16,4,0.130372,0.000294
[PI-INFO] Paramount Iteration,10,3,0.130343,0.000429
[PI-INFO] Paramount Iteration,27,4,0.130927,0.000312
[PI-INFO] Paramount Iteration,3,4,0.130669,0.000339
[PI-INFO] Paramount Iteration,26,4,0.130529,0.000545
[PI-INFO] Paramount Iteration,24,4,0.130637,0.000380
[PI-INFO] Paramount Iteration,22,4,0.130742,0.000638
[PI-INFO] Paramount Iteration,19,4,0.130626,0.000433
[PI-INFO] Paramount Iteration,25,4,0.130861,0.000325
[PI-INFO] Paramount Iteration,30,4,0.131039,0.000331
[PI-INFO] Paramount Iteration,20,4,0.130681,0.000351
[PI-INFO] Paramount Iteration,31,4,0.131105,0.000523
[PI-INFO] Paramount Iteration,21,4,0.130554,0.000372
[PI-INFO] Paramount Iteration,28,4,0.130524,0.000424
[PI-INFO] Paramount Iteration,29,4,0.130684,0.000314
[PI-INFO] Paramount Iteration,0,6,0.122288,0.000806
[PI-INFO] Paramount Iteration,0,7,0.122586,0.000298
[PI-INFO] Paramount Iteration,1,5,0.132366,0.000574
[PI-INFO] Paramount Iteration,15,5,0.132024,0.000306
[PI-INFO] Paramount Iteration,8,5,0.131316,0.000535
[PI-INFO] Paramount Iteration,17,5,0.131174,0.000313
[PI-INFO] Paramount Iteration,12,5,0.131766,0.000406
