--------------------------------------------------------------------------
[[47889,1],1]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-9-179

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
# MPI Nearest Neighbor Communication
# Info:
# Processor Grid:              32 x       1 x       1
# Data Grid (per rank):       100 x     100 x     100
# Iterations:             10000000
# Variables:                    1
# Sleep:                     1000
[PI-INFO] Init time,1,0.129722
[PI-INFO] Init time,11,0.129778
[PI-INFO] Init time,9,0.129867
[PI-INFO] Init time,17,0.128845
[PI-INFO] Init time,15,0.129023
[PI-INFO] Init time,5,0.128327
[PI-INFO] Init time,23,0.128954
[PI-INFO] Init time,7,0.128969
[PI-INFO] Init time,18,0.128734
[PI-INFO] Init time,21,0.128556
[PI-INFO] Init time,25,0.128419
[PI-INFO] Init time,27,0.129211
[PI-INFO] Init time,26,0.128639
[PI-INFO] Init time,31,0.129059
[PI-INFO] Init time,29,0.128209
[PI-INFO] Init time,0,0.119020
[PI-INFO] Paramount Iteration,0,1,0.119563,0.000543
[PI-INFO] Init time,14,0.129036
[PI-INFO] Init time,8,0.129143
[PI-INFO] Init time,2,0.129206
[PI-INFO] Init time,6,0.129242
[PI-INFO] Init time,13,0.128726
[PI-INFO] Init time,24,0.128897
[PI-INFO] Init time,16,0.128553
[PI-INFO] Init time,4,0.128221
[PI-INFO] Init time,12,0.129521
[PI-INFO] Init time,3,0.128536
[PI-INFO] Init time,10,0.128170
[PI-INFO] Init time,30,0.128365
[PI-INFO] Init time,20,0.128223
[PI-INFO] Init time,19,0.128116
[PI-INFO] Init time,22,0.127962
[PI-INFO] Init time,28,0.128031
[PI-INFO] Paramount Iteration,31,1,0.129757,0.000698
[PI-INFO] Paramount Iteration,24,1,0.129732,0.000835
[PI-INFO] Paramount Iteration,2,1,0.130056,0.000850
[PI-INFO] Paramount Iteration,17,1,0.129766,0.000922
[PI-INFO] Paramount Iteration,23,1,0.129871,0.000918
[PI-INFO] Paramount Iteration,7,1,0.129886,0.000917
[PI-INFO] Paramount Iteration,18,1,0.129625,0.000892
[PI-INFO] Paramount Iteration,26,1,0.129543,0.000904
[PI-INFO] Paramount Iteration,22,1,0.128843,0.000881
[PI-INFO] Paramount Iteration,29,1,0.129102,0.000893
[PI-INFO] Paramount Iteration,28,1,0.128896,0.000866
[PI-INFO] Paramount Iteration,1,1,0.130632,0.000910
[PI-INFO] Paramount Iteration,11,1,0.130802,0.001025
[PI-INFO] Paramount Iteration,14,1,0.130005,0.000969
[PI-INFO] Paramount Iteration,8,1,0.130054,0.000911
[PI-INFO] Paramount Iteration,6,1,0.130173,0.000931
[PI-INFO] Paramount Iteration,9,1,0.130818,0.000952
[PI-INFO] Paramount Iteration,13,1,0.129627,0.000901
[PI-INFO] Paramount Iteration,15,1,0.129952,0.000929
[PI-INFO] Paramount Iteration,5,1,0.129305,0.000978
[PI-INFO] Paramount Iteration,16,1,0.129488,0.000935
[PI-INFO] Paramount Iteration,4,1,0.129183,0.000962
[PI-INFO] Paramount Iteration,21,1,0.129508,0.000952
[PI-INFO] Paramount Iteration,12,1,0.130466,0.000945
[PI-INFO] Paramount Iteration,25,1,0.129360,0.000941
[PI-INFO] Paramount Iteration,27,1,0.130158,0.000947
[PI-INFO] Paramount Iteration,3,1,0.129485,0.000949
[PI-INFO] Paramount Iteration,10,1,0.129069,0.000899
[PI-INFO] Paramount Iteration,30,1,0.129250,0.000885
[PI-INFO] Paramount Iteration,20,1,0.129214,0.000991
[PI-INFO] Paramount Iteration,19,1,0.129115,0.000999
[PI-INFO] Paramount Iteration,0,2,0.120308,0.000745
[PI-INFO] Paramount Iteration,0,3,0.120661,0.000353
[PI-INFO] Paramount Iteration,1,2,0.130987,0.000355
[PI-INFO] Paramount Iteration,11,2,0.131151,0.000349
[PI-INFO] Paramount Iteration,14,2,0.130323,0.000318
[PI-INFO] Paramount Iteration,8,2,0.130402,0.000348
[PI-INFO] Paramount Iteration,2,2,0.130552,0.000496
[PI-INFO] Paramount Iteration,6,2,0.130527,0.000354
[PI-INFO] Paramount Iteration,9,2,0.131157,0.000339
[PI-INFO] Paramount Iteration,13,2,0.130093,0.000466
[PI-INFO] Paramount Iteration,17,2,0.130120,0.000354
[PI-INFO] Paramount Iteration,15,2,0.130346,0.000394
[PI-INFO] Paramount Iteration,24,2,0.130177,0.000445
[PI-INFO] Paramount Iteration,5,2,0.129728,0.000423
[PI-INFO] Paramount Iteration,16,2,0.129815,0.000327
[PI-INFO] Paramount Iteration,23,2,0.130189,0.000318
[PI-INFO] Paramount Iteration,4,2,0.129615,0.000432
[PI-INFO] Paramount Iteration,7,2,0.130309,0.000423
[PI-INFO] Paramount Iteration,18,2,0.130093,0.000468
[PI-INFO] Paramount Iteration,21,2,0.129978,0.000470
[PI-INFO] Paramount Iteration,12,2,0.130873,0.000407
[PI-INFO] Paramount Iteration,25,2,0.129711,0.000351
[PI-INFO] Paramount Iteration,27,2,0.130475,0.000317
[PI-INFO] Paramount Iteration,26,2,0.129913,0.000370
[PI-INFO] Paramount Iteration,31,2,0.130464,0.000707
[PI-INFO] Paramount Iteration,3,2,0.129884,0.000399
[PI-INFO] Paramount Iteration,10,2,0.129552,0.000483
[PI-INFO] Paramount Iteration,30,2,0.129586,0.000336
[PI-INFO] Paramount Iteration,20,2,0.129554,0.000340
[PI-INFO] Paramount Iteration,19,2,0.129494,0.000379
[PI-INFO] Paramount Iteration,22,2,0.129186,0.000343
[PI-INFO] Paramount Iteration,29,2,0.129475,0.000373
[PI-INFO] Paramount Iteration,28,2,0.129259,0.000363
[PI-INFO] Paramount Iteration,1,3,0.131656,0.000669
[PI-INFO] Paramount Iteration,11,3,0.131522,0.000371
[PI-INFO] Paramount Iteration,14,3,0.130727,0.000404
[PI-INFO] Paramount Iteration,8,3,0.130827,0.000425
[PI-INFO] Paramount Iteration,2,3,0.130871,0.000319
[PI-INFO] Paramount Iteration,6,3,0.130912,0.000385
[PI-INFO] Paramount Iteration,9,3,0.131666,0.000509
[PI-INFO] Paramount Iteration,13,3,0.130486,0.000393
[PI-INFO] Paramount Iteration,17,3,0.130653,0.000533
[PI-INFO] Paramount Iteration,15,3,0.130639,0.000293
[PI-INFO] Paramount Iteration,24,3,0.130529,0.000352
[PI-INFO] Paramount Iteration,5,3,0.130104,0.000376
[PI-INFO] Paramount Iteration,16,3,0.130145,0.000330
[PI-INFO] Paramount Iteration,23,3,0.130529,0.000340
[PI-INFO] Paramount Iteration,4,3,0.129952,0.000337
[PI-INFO] Paramount Iteration,7,3,0.130709,0.000400
[PI-INFO] Paramount Iteration,18,3,0.130403,0.000310
[PI-INFO] Paramount Iteration,21,3,0.130333,0.000355
[PI-INFO] Paramount Iteration,12,3,0.131246,0.000373
[PI-INFO] Paramount Iteration,25,3,0.130042,0.000331
[PI-INFO] Paramount Iteration,27,3,0.130846,0.000371
[PI-INFO] Paramount Iteration,26,3,0.130241,0.000328
[PI-INFO] Paramount Iteration,31,3,0.130725,0.000261
[PI-INFO] Paramount Iteration,3,3,0.130251,0.000367
[PI-INFO] Paramount Iteration,10,3,0.129883,0.000331
[PI-INFO] Paramount Iteration,30,3,0.130061,0.000475
[PI-INFO] Paramount Iteration,20,3,0.129986,0.000432
[PI-INFO] Paramount Iteration,19,3,0.129854,0.000360
[PI-INFO] Paramount Iteration,22,3,0.129760,0.000574
[PI-INFO] Paramount Iteration,29,3,0.129807,0.000332
[PI-INFO] Paramount Iteration,28,3,0.129584,0.000325
[PI-INFO] Paramount Iteration,0,4,0.121299,0.000638
[PI-INFO] Paramount Iteration,0,5,0.121642,0.000343
[PI-INFO] Paramount Iteration,0,6,0.122176,0.000534
[PI-INFO] Paramount Iteration,1,4,0.131995,0.000339
[PI-INFO] Paramount Iteration,11,4,0.131892,0.000370
[PI-INFO] Paramount Iteration,14,4,0.131133,0.000406
[PI-INFO] Paramount Iteration,8,4,0.131198,0.000371
[PI-INFO] Paramount Iteration,2,4,0.131464,0.000593
[PI-INFO] Paramount Iteration,6,4,0.131282,0.000370
[PI-INFO] Paramount Iteration,9,4,0.131992,0.000326
[PI-INFO] Paramount Iteration,13,4,0.130821,0.000335
[PI-INFO] Paramount Iteration,17,4,0.130948,0.000295
[PI-INFO] Paramount Iteration,15,4,0.131129,0.000490
[PI-INFO] Paramount Iteration,24,4,0.130815,0.000286
[PI-INFO] Paramount Iteration,5,4,0.130404,0.000300
[PI-INFO] Paramount Iteration,16,4,0.130688,0.000543
[PI-INFO] Paramount Iteration,23,4,0.131164,0.000635
[PI-INFO] Paramount Iteration,4,4,0.130318,0.000366
[PI-INFO] Paramount Iteration,7,4,0.131055,0.000346
[PI-INFO] Paramount Iteration,18,4,0.130789,0.000386
[PI-INFO] Paramount Iteration,21,4,0.130759,0.000426
[PI-INFO] Paramount Iteration,12,4,0.131609,0.000363
[PI-INFO] Paramount Iteration,25,4,0.130360,0.000318
[PI-INFO] Paramount Iteration,27,4,0.131164,0.000318
[PI-INFO] Paramount Iteration,26,4,0.130573,0.000332
[PI-INFO] Paramount Iteration,31,4,0.131085,0.000360
[PI-INFO] Paramount Iteration,3,4,0.130616,0.000365
[PI-INFO] Paramount Iteration,10,4,0.130188,0.000305
[PI-INFO] Paramount Iteration,30,4,0.130428,0.000367
[PI-INFO] Paramount Iteration,20,4,0.130335,0.000349
[PI-INFO] Paramount Iteration,19,4,0.130222,0.000368
[PI-INFO] Paramount Iteration,22,4,0.130123,0.000363
[PI-INFO] Paramount Iteration,29,4,0.130377,0.000570
[PI-INFO] Paramount Iteration,28,4,0.129910,0.000326
[PI-INFO] Paramount Iteration,1,5,0.132607,0.000612
[PI-INFO] Paramount Iteration,11,5,0.132312,0.000420
[PI-INFO] Paramount Iteration,14,5,0.131426,0.000293
[PI-INFO] Paramount Iteration,8,5,0.131580,0.000382
[PI-INFO] Paramount Iteration,2,5,0.131770,0.000306
[PI-INFO] Paramount Iteration,6,5,0.131649,0.000367
