[ip-172-31-12-60:22201] plm:rsh: Warning: setpgid(22236,22236) failed in parent with errno=Permission denied(13)
--------------------------------------------------------------------------
[[41445,1],23]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-4-198

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
# MPI Nearest Neighbor Communication
# Info:
# Processor Grid:              32 x       1 x       1
# Data Grid (per rank):       100 x     100 x     100
# Iterations:             10000000
# Variables:                    1
# Sleep:                     1000
[PI-INFO] Init time,23,0.125189
[PI-INFO] Init time,10,0.124662
[PI-INFO] Init time,7,0.125443
[PI-INFO] Init time,25,0.124998
[PI-INFO] Init time,29,0.123821
[PI-INFO] Init time,11,0.124160
[PI-INFO] Init time,30,0.124135
[PI-INFO] Init time,27,0.124135
[PI-INFO] Init time,13,0.124192
[PI-INFO] Init time,28,0.123990
[PI-INFO] Init time,6,0.123711
[PI-INFO] Init time,15,0.123909
[PI-INFO] Init time,31,0.124088
[PI-INFO] Init time,0,0.118632
[PI-INFO] Init time,2,0.124428
[PI-INFO] Init time,1,0.124369
[PI-INFO] Init time,3,0.124031
[PI-INFO] Init time,4,0.125004
[PI-INFO] Init time,9,0.124347
[PI-INFO] Init time,18,0.124896
[PI-INFO] Init time,14,0.124805
[PI-INFO] Init time,12,0.124253
[PI-INFO] Init time,21,0.124911
[PI-INFO] Init time,19,0.124280
[PI-INFO] Init time,5,0.124170
[PI-INFO] Init time,20,0.124166
[PI-INFO] Init time,26,0.123765
[PI-INFO] Init time,8,0.123878
[PI-INFO] Init time,22,0.124151
[PI-INFO] Init time,17,0.123999
[PI-INFO] Init time,16,0.123803
[PI-INFO] Init time,24,0.123679
[PI-INFO] Paramount Iteration,0,1,0.119341,0.000709
[PI-INFO] Paramount Iteration,14,1,0.125724,0.000919
[PI-INFO] Paramount Iteration,13,1,0.125084,0.000892
[PI-INFO] Paramount Iteration,31,1,0.125074,0.000986
[PI-INFO] Paramount Iteration,18,1,0.125853,0.000957
[PI-INFO] Paramount Iteration,26,1,0.124732,0.000967
[PI-INFO] Paramount Iteration,7,1,0.126426,0.000983
[PI-INFO] Paramount Iteration,23,1,0.126232,0.001043
[PI-INFO] Paramount Iteration,25,1,0.125983,0.000986
[PI-INFO] Paramount Iteration,17,1,0.124972,0.000973
[PI-INFO] Paramount Iteration,24,1,0.124652,0.000973
[PI-INFO] Paramount Iteration,4,1,0.126043,0.001039
[PI-INFO] Paramount Iteration,29,1,0.124922,0.001101
[PI-INFO] Paramount Iteration,30,1,0.125238,0.001103
[PI-INFO] Paramount Iteration,27,1,0.125213,0.001078
[PI-INFO] Paramount Iteration,8,1,0.124861,0.000983
[PI-INFO] Paramount Iteration,2,1,0.125523,0.001095
[PI-INFO] Paramount Iteration,1,1,0.125450,0.001082
[PI-INFO] Paramount Iteration,3,1,0.125106,0.001076
[PI-INFO] Paramount Iteration,10,1,0.125774,0.001113
[PI-INFO] Paramount Iteration,21,1,0.126024,0.001113
[PI-INFO] Paramount Iteration,11,1,0.125312,0.001152
[PI-INFO] Paramount Iteration,5,1,0.125296,0.001126
[PI-INFO] Paramount Iteration,22,1,0.125268,0.001117
[PI-INFO] Paramount Iteration,28,1,0.125154,0.001164
[PI-INFO] Paramount Iteration,6,1,0.124840,0.001129
[PI-INFO] Paramount Iteration,15,1,0.125064,0.001156
[PI-INFO] Paramount Iteration,25,2,0.126297,0.000314
[PI-INFO] Paramount Iteration,9,1,0.125461,0.001115
[PI-INFO] Paramount Iteration,12,1,0.125381,0.001129
[PI-INFO] Paramount Iteration,19,1,0.125467,0.001188
[PI-INFO] Paramount Iteration,20,1,0.125287,0.001121
