[ip-172-31-12-60:22282] plm:rsh: Warning: setpgid(22307,22307) failed in parent with errno=Permission denied(13)
--------------------------------------------------------------------------
[[41046,1],4]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-13-168

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
[PI-INFO] Init time,23,0.160329
[PI-INFO] Init time,25,0.159635
[PI-INFO] Init time,4,0.160097
[PI-INFO] Init time,10,0.160333
[PI-INFO] Init time,0,0.144963
[PI-INFO] Init time,24,0.158683
[PI-INFO] Init time,7,0.160417
[PI-INFO] Init time,13,0.158957
[PI-INFO] Init time,8,0.158792
[PI-INFO] Init time,18,0.160212
[PI-INFO] Init time,26,0.158767
[PI-INFO] Init time,27,0.159284
[PI-INFO] Init time,9,0.159244
[PI-INFO] Init time,31,0.159102
[PI-INFO] Init time,16,0.158730
[PI-INFO] Init time,1,0.159473
[PI-INFO] Init time,3,0.159111
[PI-INFO] Init time,6,0.158701
[PI-INFO] Init time,2,0.159347
[PI-INFO] Init time,5,0.159238
[PI-INFO] Init time,11,0.159344
[PI-INFO] Init time,21,0.159716
[PI-INFO] Init time,12,0.159387
[PI-INFO] Init time,19,0.159444
[PI-INFO] Init time,15,0.159238
[PI-INFO] Init time,22,0.159188
[PI-INFO] Init time,20,0.159279
[PI-INFO] Init time,30,0.158906
[PI-INFO] Init time,17,0.159182
[PI-INFO] Init time,29,0.158845
[PI-INFO] Init time,28,0.159139
[PI-INFO] Init time,14,0.161847
[PI-INFO] Paramount Iteration,0,1,0.355957,0.210994
[PI-INFO] Paramount Iteration,1,1,0.471873,0.312400
[PI-INFO] Paramount Iteration,2,1,0.571756,0.412409
[PI-INFO] Paramount Iteration,0,2,0.561601,0.205644
[PI-INFO] Paramount Iteration,3,1,0.668674,0.509563
[PI-INFO] Paramount Iteration,1,2,0.676454,0.204581
[PI-INFO] Paramount Iteration,4,1,0.771218,0.611122
[PI-INFO] Paramount Iteration,2,2,0.774840,0.203084
[PI-INFO] Paramount Iteration,0,3,0.763748,0.202147
[PI-INFO] Paramount Iteration,5,1,0.869475,0.710237
[PI-INFO] Paramount Iteration,3,2,0.871191,0.202517
[PI-INFO] Paramount Iteration,1,3,0.877025,0.200571
[PI-INFO] Paramount Iteration,6,1,0.968231,0.809531
[PI-INFO] Paramount Iteration,7,1,0.970824,0.810407
[PI-INFO] Paramount Iteration,8,1,0.969396,0.810605
[PI-INFO] Paramount Iteration,9,1,0.969889,0.810646
[PI-INFO] Paramount Iteration,10,1,0.971295,0.810962
[PI-INFO] Paramount Iteration,11,1,0.970154,0.810810
[PI-INFO] Paramount Iteration,12,1,0.970259,0.810872
[PI-INFO] Paramount Iteration,13,1,0.970069,0.811112
[PI-INFO] Paramount Iteration,14,1,0.971236,0.809389
[PI-INFO] Paramount Iteration,4,2,0.972169,0.200951
[PI-INFO] Paramount Iteration,15,1,0.971234,0.811996
[PI-INFO] Paramount Iteration,16,1,0.970913,0.812183
[PI-INFO] Paramount Iteration,17,1,0.971377,0.812195
[PI-INFO] Paramount Iteration,18,1,0.972572,0.812360
[PI-INFO] Paramount Iteration,19,1,0.971821,0.812377
[PI-INFO] Paramount Iteration,20,1,0.971804,0.812525
[PI-INFO] Paramount Iteration,21,1,0.972390,0.812674
[PI-INFO] Paramount Iteration,22,1,0.971967,0.812779
[PI-INFO] Paramount Iteration,23,1,0.974212,0.813883
[PI-INFO] Paramount Iteration,24,1,0.972492,0.813809
[PI-INFO] Paramount Iteration,25,1,0.973685,0.814050
[PI-INFO] Paramount Iteration,26,1,0.972698,0.813932
[PI-INFO] Paramount Iteration,27,1,0.973293,0.814009
[PI-INFO] Paramount Iteration,28,1,0.973142,0.814003
[PI-INFO] Paramount Iteration,29,1,0.973001,0.814157
[PI-INFO] Paramount Iteration,30,1,0.973152,0.814246
[PI-INFO] Paramount Iteration,31,1,0.973441,0.814339
[PI-INFO] Paramount Iteration,2,3,0.973740,0.198900
[PI-INFO] Paramount Iteration,0,4,0.965915,0.202167
[PI-INFO] Paramount Iteration,5,2,1.069645,0.200170
[PI-INFO] Paramount Iteration,3,3,1.069659,0.198468
[PI-INFO] Paramount Iteration,1,4,1.079279,0.202254
