--------------------------------------------------------------------------
[[44698,1],1]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-5-64

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
[PI-INFO] Init time,23,0.160097
[PI-INFO] Init time,25,0.159377
[PI-INFO] Init time,4,0.159403
[PI-INFO] Init time,10,0.159611
[PI-INFO] Init time,24,0.157465
[PI-INFO] Init time,0,0.144974
[PI-INFO] Init time,13,0.158651
[PI-INFO] Init time,8,0.158320
[PI-INFO] Init time,26,0.158033
[PI-INFO] Init time,31,0.158034
[PI-INFO] Init time,1,0.158346
[PI-INFO] Init time,7,0.159973
[PI-INFO] Init time,5,0.158194
[PI-INFO] Init time,2,0.158782
[PI-INFO] Init time,9,0.158604
[PI-INFO] Init time,3,0.158395
[PI-INFO] Init time,14,0.158691
[PI-INFO] Init time,19,0.158796
[PI-INFO] Init time,21,0.159254
[PI-INFO] Init time,18,0.159324
[PI-INFO] Init time,11,0.158614
[PI-INFO] Init time,30,0.158589
[PI-INFO] Init time,17,0.158352
[PI-INFO] Init time,6,0.158280
[PI-INFO] Init time,20,0.158749
[PI-INFO] Init time,22,0.158466
[PI-INFO] Init time,29,0.158137
[PI-INFO] Init time,15,0.158019
[PI-INFO] Init time,27,0.158498
[PI-INFO] Init time,12,0.158626
[PI-INFO] Init time,16,0.159837
[PI-INFO] Init time,28,0.160168
[PI-INFO] Paramount Iteration,0,1,0.354061,0.209088
[PI-INFO] Paramount Iteration,1,1,0.468856,0.310510
[PI-INFO] Paramount Iteration,2,1,0.569216,0.410434
[PI-INFO] Paramount Iteration,0,2,0.559559,0.205498
[PI-INFO] Paramount Iteration,3,1,0.667782,0.509387
[PI-INFO] Paramount Iteration,1,2,0.673465,0.204609
[PI-INFO] Paramount Iteration,4,1,0.768741,0.609338
[PI-INFO] Paramount Iteration,2,2,0.772276,0.203060
[PI-INFO] Paramount Iteration,0,3,0.761404,0.201845
[PI-INFO] Paramount Iteration,5,1,0.868350,0.710156
[PI-INFO] Paramount Iteration,3,2,0.869745,0.201963
[PI-INFO] Paramount Iteration,1,3,0.873769,0.200304
[PI-INFO] Paramount Iteration,6,1,0.969004,0.810724
[PI-INFO] Paramount Iteration,4,2,0.970474,0.201733
[PI-INFO] Paramount Iteration,7,1,0.971511,0.811539
[PI-INFO] Paramount Iteration,8,1,0.970038,0.811719
[PI-INFO] Paramount Iteration,9,1,0.970416,0.811813
[PI-INFO] Paramount Iteration,10,1,0.971733,0.812122
[PI-INFO] Paramount Iteration,11,1,0.970585,0.811971
[PI-INFO] Paramount Iteration,12,1,0.970681,0.812055
[PI-INFO] Paramount Iteration,2,3,0.970886,0.198610
[PI-INFO] Paramount Iteration,13,1,0.970968,0.812317
[PI-INFO] Paramount Iteration,14,1,0.971074,0.812383
[PI-INFO] Paramount Iteration,15,1,0.971200,0.813182
[PI-INFO] Paramount Iteration,16,1,0.971448,0.811612
[PI-INFO] Paramount Iteration,17,1,0.971736,0.813385
