--------------------------------------------------------------------------
[[19547,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-3-141

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
Running with these driver parameters:
  solver ID    = 3

  Laplacian_27pt:
    (Nx, Ny, Nz) = (10, 20, 10)
    (Px, Py, Pz) = (1, 2, 1)

[PI-INFO] Total time,0.133701
[PI-INFO] Total time,0.133716
[PI-INFO] Total time,0.133724
[PI-INFO] Total time,0.133728
[PI-INFO] Total time,0.133732
[PI-INFO] Total time,0.133736
[PI-INFO] Total time,0.133740
[PI-INFO] Total time,0.133744
[PI-INFO] Total time,0.133747
[PI-INFO] Total time,0.133752
[PI-INFO] Total time,0.133756
[PI-INFO] Total time,0.133760
[PI-INFO] Total time,0.133765
[PI-INFO] Total time,0.133770
[PI-INFO] Total time,0.133775
[PI-INFO] Total time,0.133779
[PI-INFO] Total time,0.133782
[PI-INFO] Total time,0.133787
[PI-INFO] Total time,0.133791
[PI-INFO] Total time,0.133796
[PI-INFO] Total time,0.133804
[PI-INFO] Total time,0.133808
[PI-INFO] Total time,0.133813
[PI-INFO] Total time,0.133817
[PI-INFO] Total time,0.133821
[PI-INFO] Total time,0.133830
[PI-INFO] Total time,0.133835
[PI-INFO] Total time,0.133839
[PI-INFO] Total time,0.133846
[PI-INFO] Total time,0.133850
[PI-INFO] Total time,0.133855
[PI-INFO] Total time,0.133859
[PI-INFO] Total time,0.133863
[PI-INFO] Total time,0.133867
[PI-INFO] Total time,0.133872
[PI-INFO] Total time,0.133876
[PI-INFO] Total time,0.133881
[PI-INFO] Total time,0.133890
[PI-INFO] Total time,0.133895
[PI-INFO] Total time,0.133900
[PI-INFO] Total time,0.133909
[PI-INFO] Total time,0.133913
[PI-INFO] Total time,0.133917
[PI-INFO] Total time,0.133922
[PI-INFO] Total time,0.133926
[PI-INFO] Total time,0.133931
[PI-INFO] Total time,0.133935
[PI-INFO] Total time,0.133940
[PI-INFO] Total time,0.133944
[PI-INFO] Total time,0.133949
[PI-INFO] Total time,0.133958
[PI-INFO] Total time,0.133962
[PI-INFO] Total time,0.133966
[PI-INFO] Total time,0.133971
[PI-INFO] Total time,0.133975
[PI-INFO] Total time,0.133979
[PI-INFO] Total time,0.133843
[PI-INFO] Total time,0.134007
[PI-INFO] Total time,0.134033
[PI-INFO] Total time,0.134056
[PI-INFO] Total time,0.134086
[PI-INFO] Total time,0.134110
[PI-INFO] Total time,0.134134
[PI-INFO] Total time,0.134157
[PI-INFO] Total time,0.134180
[PI-INFO] Total time,0.134203
[PI-INFO] Total time,0.134225
[PI-INFO] Total time,0.134248
[PI-INFO] Total time,0.134271
[PI-INFO] Total time,0.134294
[PI-INFO] Total time,0.134318
[PI-INFO] Total time,0.134341
[PI-INFO] Total time,0.134364
[PI-INFO] Total time,0.134386
[PI-INFO] Total time,0.134409
[PI-INFO] Total time,0.134431
[PI-INFO] Total time,0.134454
[PI-INFO] Total time,0.134477
[PI-INFO] Total time,0.134502
[PI-INFO] Total time,0.134524
[PI-INFO] Total time,0.134547
[PI-INFO] Total time,0.134570
[PI-INFO] Total time,0.134592
[PI-INFO] Total time,0.134615
[PI-INFO] Total time,0.134637
[PI-INFO] Total time,0.134660
[PI-INFO] Total time,0.134685
[PI-INFO] Total time,0.134708
[PI-INFO] Total time,0.134730
[PI-INFO] Total time,0.134753
[PI-INFO] Total time,0.134776
[PI-INFO] Total time,0.134798
[PI-INFO] Total time,0.134821
[PI-INFO] Total time,0.134844
[PI-INFO] Total time,0.134868
[PI-INFO] Total time,0.134891
[PI-INFO] Total time,0.134913
[PI-INFO] Total time,0.134936
[PI-INFO] Total time,0.134959
[PI-INFO] Total time,0.134982
