--------------------------------------------------------------------------
[[41937,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-1-41

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
# MPI Nearest Neighbor Communication
# Info:
# Processor Grid:              16 x       1 x       1
# Data Grid (per rank):       100 x     100 x     100
# Iterations:             10000000
# Variables:                    1
# Sleep:                     1000
[PI-INFO] Init time,5,0.119332
[PI-INFO] Init time,11,0.118315
[PI-INFO] Init time,0,0.126817
[PI-INFO] Init time,1,0.117856
[PI-INFO] Init time,2,0.117642
[PI-INFO] Init time,4,0.118475
[PI-INFO] Init time,10,0.118127
[PI-INFO] Init time,14,0.117735
[PI-INFO] Init time,12,0.117599
[PI-INFO] Init time,8,0.117916
[PI-INFO] Init time,15,0.118074
[PI-INFO] Init time,13,0.117617
[PI-INFO] Init time,9,0.117309
[PI-INFO] Init time,7,0.117685
[PI-INFO] Init time,3,0.117684
[PI-INFO] Init time,6,0.117564
[PI-INFO] Paramount Iteration,0,1,0.127356,0.000539
[PI-INFO] Paramount Iteration,15,1,0.118660,0.000586
[PI-INFO] Paramount Iteration,3,1,0.118497,0.000814
[PI-INFO] Paramount Iteration,4,1,0.119295,0.000820
[PI-INFO] Paramount Iteration,5,1,0.120216,0.000884
[PI-INFO] Paramount Iteration,11,1,0.119191,0.000876
[PI-INFO] Paramount Iteration,14,1,0.118574,0.000839
[PI-INFO] Paramount Iteration,12,1,0.118466,0.000867
[PI-INFO] Paramount Iteration,1,1,0.118798,0.000942
[PI-INFO] Paramount Iteration,2,1,0.118573,0.000931
[PI-INFO] Paramount Iteration,10,1,0.119029,0.000902
[PI-INFO] Paramount Iteration,8,1,0.118776,0.000860
[PI-INFO] Paramount Iteration,13,1,0.118493,0.000876
[PI-INFO] Paramount Iteration,9,1,0.118226,0.000917
[PI-INFO] Paramount Iteration,7,1,0.118548,0.000863
[PI-INFO] Paramount Iteration,6,1,0.118372,0.000809
[PI-INFO] Paramount Iteration,4,2,0.119623,0.000328
[PI-INFO] Paramount Iteration,5,2,0.120505,0.000289
[PI-INFO] Paramount Iteration,10,2,0.119350,0.000321
[PI-INFO] Paramount Iteration,11,2,0.119530,0.000339
[PI-INFO] Paramount Iteration,14,2,0.118886,0.000312
[PI-INFO] Paramount Iteration,12,2,0.118817,0.000351
[PI-INFO] Paramount Iteration,8,2,0.119137,0.000361
[PI-INFO] Paramount Iteration,13,2,0.118830,0.000337
[PI-INFO] Paramount Iteration,0,2,0.128086,0.000730
[PI-INFO] Paramount Iteration,1,2,0.119155,0.000357
[PI-INFO] Paramount Iteration,2,2,0.118920,0.000347
[PI-INFO] Paramount Iteration,15,2,0.119290,0.000630
[PI-INFO] Paramount Iteration,9,2,0.118598,0.000372
[PI-INFO] Paramount Iteration,7,2,0.118860,0.000312
[PI-INFO] Paramount Iteration,6,2,0.118715,0.000343
[PI-INFO] Paramount Iteration,3,2,0.119037,0.000540
[PI-INFO] Paramount Iteration,5,3,0.120835,0.000330
[PI-INFO] Paramount Iteration,11,3,0.119851,0.000321
[PI-INFO] Paramount Iteration,15,3,0.119527,0.000237
[PI-INFO] Paramount Iteration,13,3,0.119116,0.000286
[PI-INFO] Paramount Iteration,6,3,0.119012,0.000297
[PI-INFO] Paramount Iteration,10,3,0.119681,0.000331
[PI-INFO] Paramount Iteration,14,3,0.119254,0.000368
[PI-INFO] Paramount Iteration,12,3,0.119136,0.000319
[PI-INFO] Paramount Iteration,8,3,0.119449,0.000312
[PI-INFO] Paramount Iteration,9,3,0.118908,0.000310
[PI-INFO] Paramount Iteration,7,3,0.119166,0.000306
[PI-INFO] Paramount Iteration,0,3,0.128402,0.000316
[PI-INFO] Paramount Iteration,1,3,0.119514,0.000359
[PI-INFO] Paramount Iteration,2,3,0.119322,0.000402
[PI-INFO] Paramount Iteration,4,3,0.120187,0.000564
[PI-INFO] Paramount Iteration,3,3,0.119345,0.000308
[PI-INFO] Paramount Iteration,11,4,0.120192,0.000341
[PI-INFO] Paramount Iteration,14,4,0.119559,0.000305
[PI-INFO] Paramount Iteration,12,4,0.119412,0.000276
[PI-INFO] Paramount Iteration,8,4,0.119772,0.000323
[PI-INFO] Paramount Iteration,15,4,0.119851,0.000324
[PI-INFO] Paramount Iteration,13,4,0.119444,0.000328
[PI-INFO] Paramount Iteration,7,4,0.119482,0.000316
[PI-INFO] Paramount Iteration,6,4,0.119290,0.000278
[PI-INFO] Paramount Iteration,0,4,0.128702,0.000300
[PI-INFO] Paramount Iteration,1,4,0.119885,0.000371
