--------------------------------------------------------------------------
[[54899,1],1]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-11-149

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
[PI-INFO] Init time,21,0.161847
[PI-INFO] Init time,13,0.161747
[PI-INFO] Init time,26,0.161587
[PI-INFO] Init time,14,0.161606
[PI-INFO] Init time,16,0.160953
[PI-INFO] Init time,6,0.161701
[PI-INFO] Init time,27,0.160639
[PI-INFO] Init time,24,0.160955
[PI-INFO] Init time,12,0.161166
[PI-INFO] Init time,10,0.160360
[PI-INFO] Init time,18,0.160257
[PI-INFO] Init time,25,0.159676
[PI-INFO] Init time,4,0.160471
[PI-INFO] Init time,8,0.160239
[PI-INFO] Init time,15,0.160706
[PI-INFO] Init time,23,0.161166
[PI-INFO] Init time,29,0.161043
[PI-INFO] Init time,30,0.160579
[PI-INFO] Init time,31,0.160963
[PI-INFO] Init time,22,0.160039
[PI-INFO] Init time,1,0.160978
[PI-INFO] Init time,3,0.161376
[PI-INFO] Init time,17,0.160411
[PI-INFO] Init time,11,0.161374
[PI-INFO] Init time,2,0.160428
[PI-INFO] Init time,5,0.159312
[PI-INFO] Init time,20,0.160213
[PI-INFO] Init time,28,0.160032
[PI-INFO] Init time,9,0.160171
[PI-INFO] Init time,0,0.145641
[PI-INFO] Init time,7,0.163201
[PI-INFO] Init time,19,0.162838
[PI-INFO] Paramount Iteration,0,1,0.354941,0.209300
[PI-INFO] Paramount Iteration,1,1,0.472264,0.311286
[PI-INFO] Paramount Iteration,2,1,0.571633,0.411205
[PI-INFO] Paramount Iteration,0,2,0.561035,0.206094
[PI-INFO] Paramount Iteration,3,1,0.670023,0.508647
[PI-INFO] Paramount Iteration,1,2,0.677936,0.205672
[PI-INFO] Paramount Iteration,4,1,0.771466,0.610995
[PI-INFO] Paramount Iteration,2,2,0.775729,0.204096
[PI-INFO] Paramount Iteration,0,3,0.763792,0.202757
[PI-INFO] Paramount Iteration,5,1,0.867176,0.707864
[PI-INFO] Paramount Iteration,3,2,0.873424,0.203401
[PI-INFO] Paramount Iteration,1,3,0.878926,0.200990
[PI-INFO] Paramount Iteration,6,1,0.965591,0.803890
[PI-INFO] Paramount Iteration,7,1,0.966375,0.803174
[PI-INFO] Paramount Iteration,8,1,0.964852,0.804613
[PI-INFO] Paramount Iteration,9,1,0.964826,0.804655
[PI-INFO] Paramount Iteration,10,1,0.965363,0.805003
[PI-INFO] Paramount Iteration,11,1,0.966218,0.804844
[PI-INFO] Paramount Iteration,12,1,0.966342,0.805177
[PI-INFO] Paramount Iteration,13,1,0.967169,0.805422
[PI-INFO] Paramount Iteration,14,1,0.967017,0.805411
[PI-INFO] Paramount Iteration,15,1,0.966727,0.806022
[PI-INFO] Paramount Iteration,16,1,0.967290,0.806337
[PI-INFO] Paramount Iteration,17,1,0.966602,0.806191
[PI-INFO] Paramount Iteration,18,1,0.966776,0.806519
[PI-INFO] Paramount Iteration,19,1,0.967704,0.804866
[PI-INFO] Paramount Iteration,20,1,0.966672,0.806459
[PI-INFO] Paramount Iteration,21,1,0.968936,0.807090
[PI-INFO] Paramount Iteration,22,1,0.966784,0.806745
[PI-INFO] Paramount Iteration,23,1,0.968767,0.807601
[PI-INFO] Paramount Iteration,24,1,0.968899,0.807945
[PI-INFO] Paramount Iteration,25,1,0.967688,0.808012
[PI-INFO] Paramount Iteration,26,1,0.969730,0.808143
[PI-INFO] Paramount Iteration,27,1,0.968813,0.808175
[PI-INFO] Paramount Iteration,28,1,0.967984,0.807952
[PI-INFO] Paramount Iteration,29,1,0.969182,0.808139
[PI-INFO] Paramount Iteration,31,1,0.969262,0.808299
[PI-INFO] Paramount Iteration,30,1,0.968849,0.808270
[PI-INFO] Paramount Iteration,4,2,0.973480,0.202014
[PI-INFO] Paramount Iteration,2,3,0.975183,0.199454
[PI-INFO] Paramount Iteration,0,4,0.967566,0.203774
[PI-INFO] Paramount Iteration,5,2,1.068176,0.201000
[PI-INFO] Paramount Iteration,3,3,1.071212,0.197788
[PI-INFO] Paramount Iteration,1,4,1.082613,0.203687
[PI-INFO] Paramount Iteration,6,2,1.165578,0.199987
[PI-INFO] Paramount Iteration,7,2,1.165627,0.199252
[PI-INFO] Paramount Iteration,8,2,1.169369,0.204517
[PI-INFO] Paramount Iteration,4,3,1.169767,0.196287
[PI-INFO] Paramount Iteration,2,4,1.178696,0.203513
[PI-INFO] Paramount Iteration,0,5,1.172585,0.205019
[PI-INFO] Paramount Iteration,5,3,1.263087,0.194911
[PI-INFO] Paramount Iteration,9,2,1.264137,0.299311
[PI-INFO] Paramount Iteration,3,4,1.274775,0.203563
[PI-INFO] Paramount Iteration,1,5,1.287802,0.205189
[PI-INFO] Paramount Iteration,6,3,1.358918,0.193340
[PI-INFO] Paramount Iteration,7,3,1.358967,0.193340
[PI-INFO] Paramount Iteration,10,2,1.363898,0.398535
[PI-INFO] Paramount Iteration,8,3,1.368765,0.199396
[PI-INFO] Paramount Iteration,4,4,1.372844,0.203077
[PI-INFO] Paramount Iteration,2,5,1.383941,0.205245
[PI-INFO] Paramount Iteration,0,6,1.382279,0.209694
[PI-INFO] Paramount Iteration,11,2,1.459429,0.493211
[PI-INFO] Paramount Iteration,9,3,1.463323,0.199186
[PI-INFO] Paramount Iteration,5,4,1.465930,0.202843
[PI-INFO] Paramount Iteration,3,5,1.480220,0.205445
[PI-INFO] Paramount Iteration,1,6,1.497160,0.209358
[PI-INFO] Paramount Iteration,12,2,1.555031,0.588689
[PI-INFO] Paramount Iteration,6,4,1.562261,0.203343
[PI-INFO] Paramount Iteration,7,4,1.562318,0.203351
[PI-INFO] Paramount Iteration,10,3,1.561390,0.197492
[PI-INFO] Paramount Iteration,4,5,1.578476,0.205632
[PI-INFO] Paramount Iteration,8,4,1.583529,0.214764
[PI-INFO] Paramount Iteration,2,6,1.593533,0.209592
[PI-INFO] Paramount Iteration,0,7,1.606626,0.224347
[PI-INFO] Paramount Iteration,13,2,1.651390,0.684221
[PI-INFO] Paramount Iteration,11,3,1.655171,0.195742
[PI-INFO] Paramount Iteration,5,5,1.671594,0.205664
[PI-INFO] Paramount Iteration,9,4,1.676445,0.213122
[PI-INFO] Paramount Iteration,3,6,1.689638,0.209418
[PI-INFO] Paramount Iteration,1,7,1.721721,0.224561
[PI-INFO] Paramount Iteration,14,2,1.748355,0.781338
[PI-INFO] Paramount Iteration,15,2,1.747318,0.780591
[PI-INFO] Paramount Iteration,16,2,1.747880,0.780590
[PI-INFO] Paramount Iteration,17,2,1.747196,0.780594
[PI-INFO] Paramount Iteration,18,2,1.747385,0.780609
[PI-INFO] Paramount Iteration,19,2,1.748296,0.780592
[PI-INFO] Paramount Iteration,20,2,1.747254,0.780582
[PI-INFO] Paramount Iteration,21,2,1.749519,0.780583
