[ip-172-31-10-251:20072] plm:rsh: Warning: setpgid(20095,20095) failed in parent with errno=Permission denied(13)
--------------------------------------------------------------------------
[[54297,1],13]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-9-44

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
# MPI Nearest Neighbor Communication
# Info:
# Processor Grid:              32 x       1 x       1
# Data Grid (per rank):       100 x     100 x     100
# Iterations:             10000000
# Variables:                    1
# Sleep:                     1000
[PI-INFO] Init time,0,0.118992
[PI-INFO] Init time,7,0.124043
[PI-INFO] Init time,16,0.124568
[PI-INFO] Init time,6,0.124542
[PI-INFO] Init time,18,0.124121
[PI-INFO] Init time,21,0.124584
[PI-INFO] Init time,23,0.123788
[PI-INFO] Init time,30,0.124178
[PI-INFO] Init time,26,0.124714
[PI-INFO] Init time,22,0.123375
[PI-INFO] Init time,1,0.124323
[PI-INFO] Init time,10,0.124048
[PI-INFO] Init time,13,0.125425
[PI-INFO] Init time,19,0.124287
[PI-INFO] Init time,14,0.124279
[PI-INFO] Init time,12,0.124672
[PI-INFO] Init time,15,0.125280
[PI-INFO] Init time,8,0.123826
[PI-INFO] Init time,11,0.123988
[PI-INFO] Init time,3,0.124390
[PI-INFO] Init time,20,0.123716
[PI-INFO] Init time,4,0.123881
[PI-INFO] Init time,17,0.124162
[PI-INFO] Init time,2,0.123452
[PI-INFO] Init time,27,0.124171
[PI-INFO] Init time,31,0.124161
[PI-INFO] Init time,29,0.123687
[PI-INFO] Init time,9,0.123594
[PI-INFO] Init time,25,0.123601
[PI-INFO] Init time,28,0.123207
[PI-INFO] Init time,5,0.122463
[PI-INFO] Init time,24,0.122491
[PI-INFO] Paramount Iteration,0,1,0.119654,0.000662
[PI-INFO] Paramount Iteration,31,1,0.124796,0.000635
[PI-INFO] Paramount Iteration,7,1,0.124866,0.000823
[PI-INFO] Paramount Iteration,19,1,0.125116,0.000829
[PI-INFO] Paramount Iteration,21,1,0.125421,0.000838
[PI-INFO] Paramount Iteration,8,1,0.124605,0.000779
[PI-INFO] Paramount Iteration,20,1,0.124572,0.000856
[PI-INFO] Paramount Iteration,23,1,0.124636,0.000848
[PI-INFO] Paramount Iteration,17,1,0.124987,0.000826
[PI-INFO] Paramount Iteration,28,1,0.124096,0.000890
[PI-INFO] Paramount Iteration,24,1,0.123309,0.000818
[PI-INFO] Paramount Iteration,1,1,0.125179,0.000856
[PI-INFO] Paramount Iteration,10,1,0.125059,0.001011
[PI-INFO] Paramount Iteration,13,1,0.126345,0.000920
[PI-INFO] Paramount Iteration,16,1,0.125448,0.000880
[PI-INFO] Paramount Iteration,6,1,0.125519,0.000977
[PI-INFO] Paramount Iteration,14,1,0.125216,0.000937
[PI-INFO] Paramount Iteration,18,1,0.125004,0.000883
[PI-INFO] Paramount Iteration,12,1,0.125530,0.000858
[PI-INFO] Paramount Iteration,15,1,0.126122,0.000842
[PI-INFO] Paramount Iteration,11,1,0.124814,0.000827
[PI-INFO] Paramount Iteration,3,1,0.125232,0.000842
[PI-INFO] Paramount Iteration,4,1,0.124757,0.000876
[PI-INFO] Paramount Iteration,30,1,0.125114,0.000936
[PI-INFO] Paramount Iteration,2,1,0.124371,0.000919
[PI-INFO] Paramount Iteration,26,1,0.125695,0.000981
[PI-INFO] Paramount Iteration,27,1,0.125009,0.000838
[PI-INFO] Paramount Iteration,22,1,0.124298,0.000923
[PI-INFO] Paramount Iteration,29,1,0.124523,0.000837
[PI-INFO] Paramount Iteration,9,1,0.124477,0.000883
[PI-INFO] Paramount Iteration,25,1,0.124534,0.000933
[PI-INFO] Paramount Iteration,5,1,0.123393,0.000930
[PI-INFO] Paramount Iteration,0,2,0.120294,0.000640
[PI-INFO] Paramount Iteration,0,3,0.120608,0.000314
[PI-INFO] Paramount Iteration,0,4,0.120978,0.000370
[PI-INFO] Paramount Iteration,1,2,0.125520,0.000341
[PI-INFO] Paramount Iteration,7,2,0.125409,0.000543
[PI-INFO] Paramount Iteration,10,2,0.125388,0.000329
[PI-INFO] Paramount Iteration,13,2,0.126633,0.000288
[PI-INFO] Paramount Iteration,19,2,0.125432,0.000316
[PI-INFO] Paramount Iteration,16,2,0.125773,0.000325
[PI-INFO] Paramount Iteration,6,2,0.125855,0.000336
[PI-INFO] Paramount Iteration,14,2,0.125552,0.000336
[PI-INFO] Paramount Iteration,18,2,0.125310,0.000306
[PI-INFO] Paramount Iteration,12,2,0.125888,0.000358
[PI-INFO] Paramount Iteration,21,2,0.125798,0.000377
[PI-INFO] Paramount Iteration,15,2,0.126504,0.000382
[PI-INFO] Paramount Iteration,8,2,0.125048,0.000443
[PI-INFO] Paramount Iteration,11,2,0.125364,0.000550
[PI-INFO] Paramount Iteration,3,2,0.125690,0.000458
[PI-INFO] Paramount Iteration,20,2,0.124946,0.000374
[PI-INFO] Paramount Iteration,4,2,0.125205,0.000448
[PI-INFO] Paramount Iteration,23,2,0.125004,0.000368
[PI-INFO] Paramount Iteration,30,2,0.125420,0.000306
[PI-INFO] Paramount Iteration,17,2,0.125341,0.000354
[PI-INFO] Paramount Iteration,2,2,0.124679,0.000308
[PI-INFO] Paramount Iteration,26,2,0.125983,0.000288
