--------------------------------------------------------------------------
[[33618,1],3]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-2-5

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
[PI-INFO] Init time,9,0.162059
[PI-INFO] Init time,14,0.160020
[PI-INFO] Init time,30,0.160186
[PI-INFO] Init time,26,0.160417
[PI-INFO] Init time,17,0.160867
[PI-INFO] Init time,16,0.160466
[PI-INFO] Init time,29,0.160475
[PI-INFO] Init time,28,0.160497
[PI-INFO] Init time,2,0.159959
[PI-INFO] Init time,24,0.160468
[PI-INFO] Init time,7,0.160523
[PI-INFO] Init time,22,0.160710
[PI-INFO] Init time,8,0.160182
[PI-INFO] Init time,0,0.145735
[PI-INFO] Init time,1,0.160763
[PI-INFO] Init time,21,0.162065
[PI-INFO] Init time,10,0.162004
[PI-INFO] Init time,18,0.161587
[PI-INFO] Init time,12,0.162346
[PI-INFO] Init time,6,0.160960
[PI-INFO] Init time,15,0.160388
[PI-INFO] Init time,23,0.160677
[PI-INFO] Init time,13,0.160177
[PI-INFO] Init time,25,0.161201
[PI-INFO] Init time,31,0.160193
[PI-INFO] Init time,4,0.160395
[PI-INFO] Init time,27,0.160517
[PI-INFO] Init time,3,0.160635
[PI-INFO] Init time,11,0.161447
[PI-INFO] Init time,19,0.160551
[PI-INFO] Init time,20,0.160758
[PI-INFO] Init time,5,0.160460
[PI-INFO] Paramount Iteration,0,1,0.355906,0.210171
[PI-INFO] Paramount Iteration,1,1,0.469629,0.308866
[PI-INFO] Paramount Iteration,2,1,0.569309,0.409351
[PI-INFO] Paramount Iteration,0,2,0.561887,0.205981
[PI-INFO] Paramount Iteration,3,1,0.669473,0.508839
[PI-INFO] Paramount Iteration,1,2,0.674962,0.205333
[PI-INFO] Paramount Iteration,4,1,0.769804,0.609409
[PI-INFO] Paramount Iteration,2,2,0.773451,0.204142
[PI-INFO] Paramount Iteration,0,3,0.763613,0.201726
[PI-INFO] Paramount Iteration,5,1,0.869503,0.709043
[PI-INFO] Paramount Iteration,3,2,0.873017,0.203544
[PI-INFO] Paramount Iteration,1,3,0.874895,0.199933
[PI-INFO] Paramount Iteration,6,1,0.968217,0.807257
[PI-INFO] Paramount Iteration,7,1,0.968734,0.808211
[PI-INFO] Paramount Iteration,8,1,0.968472,0.808290
[PI-INFO] Paramount Iteration,9,1,0.970586,0.808527
[PI-INFO] Paramount Iteration,10,1,0.970372,0.808368
[PI-INFO] Paramount Iteration,11,1,0.969715,0.808268
[PI-INFO] Paramount Iteration,12,1,0.970910,0.808565
[PI-INFO] Paramount Iteration,13,1,0.968946,0.808769
[PI-INFO] Paramount Iteration,14,1,0.969073,0.809054
[PI-INFO] Paramount Iteration,15,1,0.970045,0.809657
[PI-INFO] Paramount Iteration,16,1,0.970355,0.809889
[PI-INFO] Paramount Iteration,17,1,0.970917,0.810050
[PI-INFO] Paramount Iteration,18,1,0.971583,0.809996
[PI-INFO] Paramount Iteration,19,1,0.970576,0.810025
[PI-INFO] Paramount Iteration,20,1,0.970904,0.810146
