--------------------------------------------------------------------------
[[59435,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-10-65

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
[PI-INFO] Init time,10,0.144778
[PI-INFO] Init time,14,0.143215
[PI-INFO] Init time,8,0.142997
[PI-INFO] Init time,5,0.144074
[PI-INFO] Init time,6,0.142661
[PI-INFO] Init time,15,0.142497
[PI-INFO] Init time,2,0.143927
[PI-INFO] Init time,3,0.142685
[PI-INFO] Init time,12,0.142937
[PI-INFO] Init time,11,0.142581
[PI-INFO] Init time,7,0.144616
[PI-INFO] Init time,13,0.142527
[PI-INFO] Init time,1,0.142935
[PI-INFO] Init time,9,0.143312
[PI-INFO] Init time,4,0.143980
[PI-INFO] Init time,0,0.154789
[PI-INFO] Paramount Iteration,0,1,0.365006,0.210217
[PI-INFO] Paramount Iteration,1,1,0.453196,0.310261
[PI-INFO] Paramount Iteration,2,1,0.551521,0.407594
[PI-INFO] Paramount Iteration,3,1,0.551167,0.408482
[PI-INFO] Paramount Iteration,4,1,0.551002,0.407022
[PI-INFO] Paramount Iteration,5,1,0.552786,0.408712
[PI-INFO] Paramount Iteration,6,1,0.551495,0.408834
[PI-INFO] Paramount Iteration,7,1,0.553979,0.409363
[PI-INFO] Paramount Iteration,8,1,0.552769,0.409772
[PI-INFO] Paramount Iteration,9,1,0.552901,0.409589
[PI-INFO] Paramount Iteration,10,1,0.554733,0.409955
[PI-INFO] Paramount Iteration,11,1,0.553160,0.410580
[PI-INFO] Paramount Iteration,12,1,0.553645,0.410709
[PI-INFO] Paramount Iteration,13,1,0.553217,0.410690
[PI-INFO] Paramount Iteration,14,1,0.554279,0.411065
[PI-INFO] Paramount Iteration,15,1,0.553513,0.411017
[PI-INFO] Paramount Iteration,0,2,0.575907,0.210901
[PI-INFO] Paramount Iteration,1,2,0.662982,0.209786
[PI-INFO] Paramount Iteration,2,2,0.760772,0.209251
[PI-INFO] Paramount Iteration,3,2,0.759646,0.208479
[PI-INFO] Paramount Iteration,4,2,0.759476,0.208474
[PI-INFO] Paramount Iteration,0,3,0.782131,0.206224
[PI-INFO] Paramount Iteration,5,2,0.845173,0.292387
[PI-INFO] Paramount Iteration,1,3,0.867861,0.204879
[PI-INFO] Paramount Iteration,6,2,0.939891,0.388396
[PI-INFO] Paramount Iteration,7,2,0.941679,0.387700
[PI-INFO] Paramount Iteration,8,2,0.940480,0.387711
[PI-INFO] Paramount Iteration,9,2,0.940608,0.387707
[PI-INFO] Paramount Iteration,10,2,0.944254,0.389521
[PI-INFO] Paramount Iteration,11,2,0.941978,0.388818
[PI-INFO] Paramount Iteration,12,2,0.942478,0.388833
[PI-INFO] Paramount Iteration,13,2,0.942041,0.388824
