--------------------------------------------------------------------------
[[33762,1],1]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-14-220

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
# MPI Nearest Neighbor Communication
# Info:
# Processor Grid:              32 x       1 x       1
# Data Grid (per rank):       100 x     100 x     100
# Iterations:             10000000
# Variables:                    1
# Sleep:                     1000
[PI-INFO] Init time,29,0.132564
[PI-INFO] Init time,9,0.134698
[PI-INFO] Init time,11,0.132990
[PI-INFO] Init time,22,0.132947
[PI-INFO] Init time,7,0.133141
[PI-INFO] Init time,28,0.133109
[PI-INFO] Init time,23,0.132780
[PI-INFO] Init time,12,0.134101
[PI-INFO] Init time,27,0.132514
[PI-INFO] Init time,30,0.133011
[PI-INFO] Init time,0,0.118423
[PI-INFO] Init time,1,0.132843
[PI-INFO] Init time,2,0.132547
[PI-INFO] Init time,3,0.132771
[PI-INFO] Init time,10,0.134502
[PI-INFO] Init time,6,0.133391
[PI-INFO] Init time,18,0.133431
[PI-INFO] Init time,4,0.133198
[PI-INFO] Init time,13,0.133021
[PI-INFO] Init time,15,0.132884
[PI-INFO] Init time,21,0.134153
[PI-INFO] Init time,17,0.133335
[PI-INFO] Init time,26,0.133375
[PI-INFO] Init time,25,0.133220
[PI-INFO] Init time,24,0.133174
[PI-INFO] Init time,14,0.132657
[PI-INFO] Init time,5,0.132700
[PI-INFO] Init time,19,0.132778
[PI-INFO] Init time,8,0.132094
[PI-INFO] Init time,31,0.132346
[PI-INFO] Init time,20,0.133014
[PI-INFO] Init time,16,0.133004
[PI-INFO] Paramount Iteration,0,1,0.118950,0.000528
[PI-INFO] Paramount Iteration,31,1,0.132966,0.000620
[PI-INFO] Paramount Iteration,12,1,0.134861,0.000761
[PI-INFO] Paramount Iteration,11,1,0.133773,0.000783
[PI-INFO] Paramount Iteration,13,1,0.133809,0.000788
[PI-INFO] Paramount Iteration,26,1,0.134188,0.000814
[PI-INFO] Paramount Iteration,25,1,0.134023,0.000803
[PI-INFO] Paramount Iteration,14,1,0.133460,0.000803
[PI-INFO] Paramount Iteration,1,1,0.133683,0.000840
[PI-INFO] Paramount Iteration,2,1,0.133389,0.000842
[PI-INFO] Paramount Iteration,10,1,0.135362,0.000860
[PI-INFO] Paramount Iteration,9,1,0.135526,0.000828
[PI-INFO] Paramount Iteration,6,1,0.134176,0.000785
[PI-INFO] Paramount Iteration,18,1,0.134307,0.000876
[PI-INFO] Paramount Iteration,15,1,0.133768,0.000885
[PI-INFO] Paramount Iteration,29,1,0.133418,0.000855
[PI-INFO] Paramount Iteration,21,1,0.134982,0.000829
[PI-INFO] Paramount Iteration,17,1,0.134149,0.000814
[PI-INFO] Paramount Iteration,22,1,0.133806,0.000859
[PI-INFO] Paramount Iteration,7,1,0.133969,0.000829
[PI-INFO] Paramount Iteration,28,1,0.133966,0.000857
[PI-INFO] Paramount Iteration,24,1,0.133991,0.000818
[PI-INFO] Paramount Iteration,23,1,0.133629,0.000850
[PI-INFO] Paramount Iteration,5,1,0.133510,0.000811
[PI-INFO] Paramount Iteration,19,1,0.133635,0.000857
[PI-INFO] Paramount Iteration,8,1,0.132889,0.000795
[PI-INFO] Paramount Iteration,27,1,0.133376,0.000862
[PI-INFO] Paramount Iteration,20,1,0.133844,0.000830
[PI-INFO] Paramount Iteration,16,1,0.133848,0.000845
[PI-INFO] Paramount Iteration,30,1,0.133893,0.000882
[PI-INFO] Paramount Iteration,3,1,0.133655,0.000884
[PI-INFO] Paramount Iteration,10,2,0.135688,0.000326
[PI-INFO] Paramount Iteration,9,2,0.135878,0.000352
[PI-INFO] Paramount Iteration,6,2,0.134522,0.000346
[PI-INFO] Paramount Iteration,4,1,0.134086,0.000888
[PI-INFO] Paramount Iteration,13,2,0.134099,0.000290
[PI-INFO] Paramount Iteration,21,2,0.135311,0.000329
[PI-INFO] Paramount Iteration,26,2,0.134536,0.000348
[PI-INFO] Paramount Iteration,11,2,0.134150,0.000377
[PI-INFO] Paramount Iteration,25,2,0.134361,0.000338
[PI-INFO] Paramount Iteration,22,2,0.134128,0.000322
[PI-INFO] Paramount Iteration,7,2,0.134310,0.000341
[PI-INFO] Paramount Iteration,24,2,0.134281,0.000290
[PI-INFO] Paramount Iteration,8,2,0.133180,0.000291
[PI-INFO] Paramount Iteration,12,2,0.135196,0.000335
[PI-INFO] Paramount Iteration,16,2,0.134147,0.000299
[PI-INFO] Paramount Iteration,30,2,0.134174,0.000281
[PI-INFO] Paramount Iteration,0,2,0.119631,0.000681
[PI-INFO] Paramount Iteration,0,3,0.119931,0.000300
[PI-INFO] Paramount Iteration,1,2,0.134035,0.000352
[PI-INFO] Paramount Iteration,2,2,0.133755,0.000366
[PI-INFO] Paramount Iteration,3,2,0.134006,0.000351
[PI-INFO] Paramount Iteration,10,3,0.135986,0.000298
[PI-INFO] Paramount Iteration,9,3,0.136165,0.000287
[PI-INFO] Paramount Iteration,18,2,0.134645,0.000338
[PI-INFO] Paramount Iteration,4,2,0.134401,0.000315
[PI-INFO] Paramount Iteration,13,3,0.134447,0.000348
[PI-INFO] Paramount Iteration,15,2,0.134070,0.000302
[PI-INFO] Paramount Iteration,29,2,0.133836,0.000418
[PI-INFO] Paramount Iteration,17,2,0.134493,0.000344
